replica,network,population,true_model,sigma,base_SS,modelcompare,TAT,TAT50
1,None,All,13,0.2,100,AIC,0.9357,1
2,None,All,13,0.2,100,AIC,0.9196,1
3,None,All,13,0.2,100,AIC,0.9413,1
4,None,All,13,0.2,100,AIC,0.5489,1
5,None,All,13,0.2,100,AIC,0.7202,1
6,None,All,13,0.2,100,AIC,0.937,1
7,None,All,13,0.2,100,AIC,0.9437,1
8,None,All,13,0.2,100,AIC,0.9437,1
9,None,All,13,0.2,100,AIC,0.9398,1
10,None,All,13,0.2,100,AIC,0.9378,1
11,None,All,13,0.2,100,AIC,0.9318,1
12,None,All,13,0.2,100,AIC,0.9499,1
13,None,All,13,0.2,100,AIC,0.929,1
14,None,All,13,0.2,100,AIC,0.8384,1
15,None,All,13,0.2,100,AIC,0.9341,1
16,None,All,13,0.2,100,AIC,0.9232,1
17,None,All,13,0.2,100,AIC,0.9358,1
18,None,All,13,0.2,100,AIC,0.9317,1
19,None,All,13,0.2,100,AIC,0.9227,1
20,None,All,13,0.2,100,AIC,0.948,1
21,None,All,13,0.2,100,AIC,0.9414,1
22,None,All,13,0.2,100,AIC,0.938,1
23,None,All,13,0.2,100,AIC,0.9369,1
24,None,All,13,0.2,100,AIC,0.9389,1
25,None,All,13,0.2,100,AIC,0.9448,1
26,None,All,13,0.2,100,AIC,0.9396,1
27,None,All,13,0.2,100,AIC,0.9398,1
28,None,All,13,0.2,100,AIC,0.9421,1
29,None,All,13,0.2,100,AIC,0.9402,1
30,None,All,13,0.2,100,AIC,0.9411,1
31,None,All,13,0.2,100,AIC,0.9422,1
32,None,All,13,0.2,100,AIC,0.9334,1
33,None,All,13,0.2,100,AIC,0.9349,1
34,None,All,13,0.2,100,AIC,0.9437,1
35,None,All,13,0.2,100,AIC,0.9175,1
36,None,All,13,0.2,100,AIC,0.9313,1
37,None,All,13,0.2,100,AIC,0.9375,1
38,None,All,13,0.2,100,AIC,0.9422,1
39,None,All,13,0.2,100,AIC,0.9255,1
40,None,All,13,0.2,100,AIC,0.9389,1
41,None,All,13,0.2,100,AIC,0.9473,1
42,None,All,13,0.2,100,AIC,0.9445,1
43,None,All,13,0.2,100,AIC,0.9337,1
44,None,All,13,0.2,100,AIC,0.9469,1
45,None,All,13,0.2,100,AIC,0.9337,1
46,None,All,13,0.2,100,AIC,0.9301,1
47,None,All,13,0.2,100,AIC,0.923,1
48,None,All,13,0.2,100,AIC,0.9397,1
49,None,All,13,0.2,100,AIC,0.9427,1
50,None,All,13,0.2,100,AIC,0.2758,0
1,None,All,2,0.2,100,AIC,0.5796,1
2,None,All,2,0.2,100,AIC,0.6069,1
3,None,All,2,0.2,100,AIC,0.6214,1
4,None,All,2,0.2,100,AIC,0.5982,1
5,None,All,2,0.2,100,AIC,0.6209,1
6,None,All,2,0.2,100,AIC,0.6032,1
7,None,All,2,0.2,100,AIC,0.6137,1
8,None,All,2,0.2,100,AIC,0.6009,1
9,None,All,2,0.2,100,AIC,0.6133,1
10,None,All,2,0.2,100,AIC,0.5971,1
11,None,All,2,0.2,100,AIC,0.61240000000000006,1
12,None,All,2,0.2,100,AIC,0.6325,1
13,None,All,2,0.2,100,AIC,0.6015,1
14,None,All,2,0.2,100,AIC,0.6165,1
15,None,All,2,0.2,100,AIC,0.5984,1
16,None,All,2,0.2,100,AIC,0.6037,1
17,None,All,2,0.2,100,AIC,0.608,1
18,None,All,2,0.2,100,AIC,0.6176,1
19,None,All,2,0.2,100,AIC,0.6087,1
20,None,All,2,0.2,100,AIC,0.6136,1
21,None,All,2,0.2,100,AIC,0.6321,1
22,None,All,2,0.2,100,AIC,0.6399,1
23,None,All,2,0.2,100,AIC,0.606,1
24,None,All,2,0.2,100,AIC,0.6102,1
25,None,All,2,0.2,100,AIC,0.6137,1
26,None,All,2,0.2,100,AIC,0.6226,1
27,None,All,2,0.2,100,AIC,0.6068,1
28,None,All,2,0.2,100,AIC,0.5883,1
29,None,All,2,0.2,100,AIC,0.5971,1
30,None,All,2,0.2,100,AIC,0.6241,1
31,None,All,2,0.2,100,AIC,0.6176,1
32,None,All,2,0.2,100,AIC,0.6058,1
33,None,All,2,0.2,100,AIC,0.6172,1
34,None,All,2,0.2,100,AIC,0.6009,1
35,None,All,2,0.2,100,AIC,0.6199,1
36,None,All,2,0.2,100,AIC,0.6086,1
37,None,All,2,0.2,100,AIC,0.591,1
38,None,All,2,0.2,100,AIC,0.6018,1
39,None,All,2,0.2,100,AIC,0.618,1
40,None,All,2,0.2,100,AIC,0.5957,1
41,None,All,2,0.2,100,AIC,0.5867,1
42,None,All,2,0.2,100,AIC,0.5979,1
43,None,All,2,0.2,100,AIC,0.5979,1
44,None,All,2,0.2,100,AIC,0.6196,1
45,None,All,2,0.2,100,AIC,0.61240000000000006,1
46,None,All,2,0.2,100,AIC,0.6227,1
47,None,All,2,0.2,100,AIC,0.6125,1
48,None,All,2,0.2,100,AIC,0.6052,1
49,None,All,2,0.2,100,AIC,0.6072,1
50,None,All,2,0.2,100,AIC,0.6078,1
1,None,All,7,0.2,100,AIC,0.6139,1
2,None,All,7,0.2,100,AIC,0.6446,1
