replica,network,population,sigma,true_model,modelcompare,base_SS,agent_away,agent_total,stickiness_overall
1,None,All,0.2,13,AIC,100,177,9356,0.9810816588285592
2,None,All,0.2,13,AIC,100,197,9195,0.9785753126699293
3,None,All,0.2,13,AIC,100,188,9412,0.9800254993625159
4,None,All,0.2,13,AIC,100,423,5489,0.9229367826562216
5,None,All,0.2,13,AIC,100,394,7202,0.9452929741738406
6,None,All,0.2,13,AIC,100,194,9369,0.9792934144519159
7,None,All,0.2,13,AIC,100,164,9436,0.9826197541331072
8,None,All,0.2,13,AIC,100,161,9436,0.9829376854599406
9,None,All,0.2,13,AIC,100,180,9397,0.9808449505161222
10,None,All,0.2,13,AIC,100,190,9377,0.9797376559667271
11,None,All,0.2,13,AIC,100,175,9317,0.9812171299774606
12,None,All,0.2,13,AIC,100,170,9498,0.9821014950515898
13,None,All,0.2,13,AIC,100,177,9289,0.9809452040047368
14,None,All,0.2,13,AIC,100,276,8383,0.9670762256948586
15,None,All,0.2,13,AIC,100,178,9340,0.9809421841541756
16,None,All,0.2,13,AIC,100,203,9232,0.9780112651646448
17,None,All,0.2,13,AIC,100,173,9357,0.9815111681094368
18,None,All,0.2,13,AIC,100,180,9316,0.9806784027479605
19,None,All,0.2,13,AIC,100,196,9226,0.9787556904400607
20,None,All,0.2,13,AIC,100,162,9479,0.9829095896191581
21,None,All,0.2,13,AIC,100,179,9413,0.9809837458833528
22,None,All,0.2,13,AIC,100,191,9379,0.9796353555816185
23,None,All,0.2,13,AIC,100,187,9368,0.9800384286934244
24,None,All,0.2,13,AIC,100,179,9388,0.9809331060928845
25,None,All,0.2,13,AIC,100,190,9448,0.9798899237933955
26,None,All,0.2,13,AIC,100,189,9395,0.9798829164449175
27,None,All,0.2,13,AIC,100,177,9397,0.9811642013408535
28,None,All,0.2,13,AIC,100,179,9420,0.9809978768577494
29,None,All,0.2,13,AIC,100,174,9401,0.981491330709499
30,None,All,0.2,13,AIC,100,187,9410,0.9801275239107332
31,None,All,0.2,13,AIC,100,160,9421,0.9830166648975692
32,None,All,0.2,13,AIC,100,175,9333,0.9812493303332261
33,None,All,0.2,13,AIC,100,189,9348,0.9797817715019256
34,None,All,0.2,13,AIC,100,161,9436,0.9829376854599406
35,None,All,0.2,13,AIC,100,219,9174,0.9761281883584042
36,None,All,0.2,13,AIC,100,209,9312,0.9775558419243986
37,None,All,0.2,13,AIC,100,176,9374,0.9812246639641562
38,None,All,0.2,13,AIC,100,184,9421,0.9804691646322047
39,None,All,0.2,13,AIC,100,193,9254,0.9791441538794035
40,None,All,0.2,13,AIC,100,190,9388,0.9797613975287601
41,None,All,0.2,13,AIC,100,174,9472,0.9816300675675675
42,None,All,0.2,13,AIC,100,171,9444,0.9818932655654383
43,None,All,0.2,13,AIC,100,172,9336,0.9815766923736076
44,None,All,0.2,13,AIC,100,170,9468,0.9820447824250106
45,None,All,0.2,13,AIC,100,183,9336,0.9803984575835476
46,None,All,0.2,13,AIC,100,185,9300,0.9801075268817204
47,None,All,0.2,13,AIC,100,202,9229,0.9781124715570484
48,None,All,0.2,13,AIC,100,182,9397,0.980632116632968
