replica,network,population,sigma,true_model,modelcompare,base_SS,RR
1,None,All,0.2,13,AIC,100,0.9465081723625557
2,None,All,0.2,13,AIC,100,0.9426229508196722
3,None,All,0.2,13,AIC,100,0.9430656934306569
4,None,All,0.2,13,AIC,100,0.8913690476190477
5,None,All,0.2,13,AIC,100,0.9071332436069987
6,None,All,0.2,13,AIC,100,0.9367909238249594
7,None,All,0.2,13,AIC,100,0.9286926994906621
8,None,All,0.2,13,AIC,100,0.9392446633825944
9,None,All,0.2,13,AIC,100,0.9357945425361156
10,None,All,0.2,13,AIC,100,0.9239302694136292
11,None,All,0.2,13,AIC,100,0.9159519725557461
12,None,All,0.2,13,AIC,100,0.9406392694063926
13,None,All,0.2,13,AIC,100,0.920303605313093
14,None,All,0.2,13,AIC,100,0.9356060606060606
15,None,All,0.2,13,AIC,100,0.933933933933934
16,None,All,0.2,13,AIC,100,0.9344262295081968
17,None,All,0.2,13,AIC,100,0.9297752808988764
18,None,All,0.2,13,AIC,100,0.9230769230769231
19,None,All,0.2,13,AIC,100,0.9340369393139841
20,None,All,0.2,13,AIC,100,0.9203703703703704
21,None,All,0.2,13,AIC,100,0.9316493313521546
22,None,All,0.2,13,AIC,100,0.9274809160305344
23,None,All,0.2,13,AIC,100,0.9284731774415406
24,None,All,0.2,13,AIC,100,0.9331436699857752
25,None,All,0.2,13,AIC,100,0.9183303085299456
26,None,All,0.2,13,AIC,100,0.922514619883041
27,None,All,0.2,13,AIC,100,0.9285714285714286
28,None,All,0.2,13,AIC,100,0.9248554913294798
29,None,All,0.2,13,AIC,100,0.9350473612990527
30,None,All,0.2,13,AIC,100,0.9376996805111821
31,None,All,0.2,13,AIC,100,0.9271623672230652
32,None,All,0.2,13,AIC,100,0.9251101321585903
33,None,All,0.2,13,AIC,100,0.9271428571428572
34,None,All,0.2,13,AIC,100,0.9392446633825944
35,None,All,0.2,13,AIC,100,0.8985736925515055
36,None,All,0.2,13,AIC,100,0.9401840490797546
37,None,All,0.2,13,AIC,100,0.9364508393285371
38,None,All,0.2,13,AIC,100,0.9334442595673876
39,None,All,0.2,13,AIC,100,0.9445234708392604
40,None,All,0.2,13,AIC,100,0.9232914923291492
41,None,All,0.2,13,AIC,100,0.9183006535947712
42,None,All,0.2,13,AIC,100,0.9262048192771084
43,None,All,0.2,13,AIC,100,0.9330065359477124
44,None,All,0.2,13,AIC,100,0.9345509893455098
45,None,All,0.2,13,AIC,100,0.9333333333333333
46,None,All,0.2,13,AIC,100,0.9292649098474342
47,None,All,0.2,13,AIC,100,0.9290657439446367
48,None,All,0.2,13,AIC,100,0.9318885448916409
49,None,All,0.2,13,AIC,100,0.924908424908425
50,None,All,0.2,13,AIC,100,0.8244514106583072
1,None,All,0.2,2,AIC,100,0.9049586776859504
2,None,All,0.2,2,AIC,100,0.9067357512953368
3,None,All,0.2,2,AIC,100,0.8887343532684284
4,None,All,0.2,2,AIC,100,0.895618556701031
5,None,All,0.2,2,AIC,100,0.898921832884097
6,None,All,0.2,2,AIC,100,0.8918083462132921
7,None,All,0.2,2,AIC,100,0.9093444909344491
8,None,All,0.2,2,AIC,100,0.8826597131681877
9,None,All,0.2,2,AIC,100,0.8818897637795275
10,None,All,0.2,2,AIC,100,0.8876080691642652
11,None,All,0.2,2,AIC,100,0.8790123456790123
12,None,All,0.2,2,AIC,100,0.8925294888597641
13,None,All,0.2,2,AIC,100,0.8925170068027211
14,None,All,0.2,2,AIC,100,0.8913324708926261
15,None,All,0.2,2,AIC,100,0.9009126466753585
16,None,All,0.2,2,AIC,100,0.8960843373493976
17,None,All,0.2,2,AIC,100,0.8864942528735632
18,None,All,0.2,2,AIC,100,0.8926630434782609
19,None,All,0.2,2,AIC,100,0.89501312335958
20,None,All,0.2,2,AIC,100,0.8819095477386935
21,None,All,0.2,2,AIC,100,0.9006451612903226
22,None,All,0.2,2,AIC,100,0.8957475994513031
23,None,All,0.2,2,AIC,100,0.8965952080706179
24,None,All,0.2,2,AIC,100,0.8849797023004059
25,None,All,0.2,2,AIC,100,0.8935860058309038
26,None,All,0.2,2,AIC,100,0.895364238410596
