replica,network,population,sigma,true_model,net_size,colab_cond,RR
1,Lattice,All,0.2,13,413,COLAB,0.48402948402948404
2,Lattice,All,0.2,13,413,COLAB,0.5338427947598253
3,Lattice,All,0.2,13,413,COLAB,0.5201421800947867
4,Lattice,All,0.2,13,413,COLAB,0.5246189917936694
5,Lattice,All,0.2,13,413,COLAB,0.5156774916013438
6,Lattice,All,0.2,13,413,COLAB,0.4983476536682089
7,Lattice,All,0.2,13,413,COLAB,0.5129906025428413
8,Lattice,All,0.2,13,413,COLAB,0.5436554132712457
9,Lattice,All,0.2,13,413,COLAB,0.5169022741241549
10,Lattice,All,0.2,13,413,COLAB,0.5230677052127022
11,Lattice,All,0.2,13,413,COLAB,0.5601659751037344
12,Lattice,All,0.2,13,413,COLAB,0.5798065296251511
13,Lattice,All,0.2,13,413,COLAB,0.5274463007159904
14,Lattice,All,0.2,13,413,COLAB,0.5368239355581128
15,Lattice,All,0.2,13,413,COLAB,0.5279394644935972
16,Lattice,All,0.2,13,413,COLAB,0.5149425287356322
17,Lattice,All,0.2,13,413,COLAB,0.4811083123425693
18,Lattice,All,0.2,13,413,COLAB,0.49259497746297487
19,Lattice,All,0.2,13,413,COLAB,0.5318237454100367
20,Lattice,All,0.2,13,413,COLAB,0.5069490403706155
21,Lattice,All,0.2,13,413,COLAB,0.5784061696658098
22,Lattice,All,0.2,13,413,COLAB,0.5744807121661721
23,Lattice,All,0.2,13,413,COLAB,0.5049875311720698
24,Lattice,All,0.2,13,413,COLAB,0.5316804407713499
25,Lattice,All,0.2,13,413,COLAB,0.5216197666437886
26,Lattice,All,0.2,13,413,COLAB,0.5074123989218329
27,Lattice,All,0.2,13,413,COLAB,0.5260148656375071
28,Lattice,All,0.2,13,413,COLAB,0.484149855907781
29,Lattice,All,0.2,13,413,COLAB,0.5559481743227326
30,Lattice,All,0.2,13,413,COLAB,0.5212957408518296
31,Lattice,All,0.2,13,413,COLAB,0.5214881334188582
32,Lattice,All,0.2,13,413,COLAB,0.5397902529302899
33,Lattice,All,0.2,13,413,COLAB,0.49182242990654207
34,Lattice,All,0.2,13,413,COLAB,0.5436554132712457
35,Lattice,All,0.2,13,413,COLAB,0.5529411764705883
36,Lattice,All,0.2,13,413,COLAB,0.5303210463733651
37,Lattice,All,0.2,13,413,COLAB,0.5558282208588957
38,Lattice,All,0.2,13,413,COLAB,0.5359955005624297
