replica,network,population,sigma,true_model,net_size,colab_cond,strategy,RR
1,Lattice,All,0.2,13,413,COLAB,colab,0.6138613861386139
1,Lattice,All,0.2,13,413,COLAB,neighbor,0.5892307692307692
1,Lattice,All,0.2,13,413,COLAB,research,0.39110604332953247
2,Lattice,All,0.2,13,413,COLAB,colab,0.691358024691358
2,Lattice,All,0.2,13,413,COLAB,neighbor,0.6513761467889908
2,Lattice,All,0.2,13,413,COLAB,research,0.43016194331983804
3,Lattice,All,0.2,13,413,COLAB,colab,0.8181818181818182
3,Lattice,All,0.2,13,413,COLAB,neighbor,0.6210691823899371
3,Lattice,All,0.2,13,413,COLAB,research,0.4307692307692308
4,Lattice,All,0.2,13,413,COLAB,colab,0.6585365853658537
4,Lattice,All,0.2,13,413,COLAB,neighbor,0.6438127090301003
4,Lattice,All,0.2,13,413,COLAB,research,0.4355329949238579
5,Lattice,All,0.2,13,413,COLAB,colab,0.6888888888888889
5,Lattice,All,0.2,13,413,COLAB,neighbor,0.598893499308437
5,Lattice,All,0.2,13,413,COLAB,research,0.43782117163412126
6,Lattice,All,0.2,13,413,COLAB,colab,0.875
6,Lattice,All,0.2,13,413,COLAB,neighbor,0.6089030206677265
6,Lattice,All,0.2,13,413,COLAB,research,0.39354066985645936
7,Lattice,All,0.2,13,413,COLAB,colab,0.6233766233766234
7,Lattice,All,0.2,13,413,COLAB,neighbor,0.6600265604249668
7,Lattice,All,0.2,13,413,COLAB,research,0.39121552604698673
8,Lattice,All,0.2,13,413,COLAB,colab,0.8243243243243243
8,Lattice,All,0.2,13,413,COLAB,neighbor,0.6671850699844479
8,Lattice,All,0.2,13,413,COLAB,research,0.4435564435564436
9,Lattice,All,0.2,13,413,COLAB,colab,0.6865671641791045
9,Lattice,All,0.2,13,413,COLAB,neighbor,0.7121212121212122
9,Lattice,All,0.2,13,413,COLAB,research,0.4060077519379845
10,Lattice,All,0.2,13,413,COLAB,colab,0.8144329896907216
10,Lattice,All,0.2,13,413,COLAB,neighbor,0.6281645569620253
10,Lattice,All,0.2,13,413,COLAB,research,0.4223404255319149
11,Lattice,All,0.2,13,413,COLAB,colab,0.8783783783783784
11,Lattice,All,0.2,13,413,COLAB,neighbor,0.6704
11,Lattice,All,0.2,13,413,COLAB,research,0.4665991902834008
12,Lattice,All,0.2,13,413,COLAB,colab,0.8351648351648352
12,Lattice,All,0.2,13,413,COLAB,neighbor,0.6754966887417219
12,Lattice,All,0.2,13,413,COLAB,research,0.49530761209593327
13,Lattice,All,0.2,13,413,COLAB,colab,0.8666666666666667
13,Lattice,All,0.2,13,413,COLAB,neighbor,0.6086369770580297
13,Lattice,All,0.2,13,413,COLAB,research,0.42790697674418604
14,Lattice,All,0.2,13,413,COLAB,colab,0.9482758620689655
14,Lattice,All,0.2,13,413,COLAB,neighbor,0.651702786377709
14,Lattice,All,0.2,13,413,COLAB,research,0.44197292069632493
15,Lattice,All,0.2,13,413,COLAB,colab,0.6914893617021277
15,Lattice,All,0.2,13,413,COLAB,neighbor,0.6284875183553598
15,Lattice,All,0.2,13,413,COLAB,research,0.43902439024390244
16,Lattice,All,0.2,13,413,COLAB,colab,0.8548387096774194
16,Lattice,All,0.2,13,413,COLAB,neighbor,0.5714285714285714
16,Lattice,All,0.2,13,413,COLAB,research,0.4562624254473161
17,Lattice,All,0.2,13,413,COLAB,colab,0.71
17,Lattice,All,0.2,13,413,COLAB,neighbor,0.6150159744408946
17,Lattice,All,0.2,13,413,COLAB,research,0.35730858468677495
18,Lattice,All,0.2,13,413,COLAB,colab,0.7272727272727273
18,Lattice,All,0.2,13,413,COLAB,neighbor,0.6283185840707964
18,Lattice,All,0.2,13,413,COLAB,research,0.3926247288503254
19,Lattice,All,0.2,13,413,COLAB,colab,0.8571428571428571
19,Lattice,All,0.2,13,413,COLAB,neighbor,0.6435185185185185
19,Lattice,All,0.2,13,413,COLAB,research,0.4312026002166847
20,Lattice,All,0.2,13,413,COLAB,colab,0.7941176470588235
20,Lattice,All,0.2,13,413,COLAB,neighbor,0.5985790408525755
20,Lattice,All,0.2,13,413,COLAB,research,0.42613636363636365
21,Lattice,All,0.2,13,413,COLAB,colab,0.6632653061224489
21,Lattice,All,0.2,13,413,COLAB,neighbor,0.7491349480968859
21,Lattice,All,0.2,13,413,COLAB,research,0.45681818181818185
22,Lattice,All,0.2,13,413,COLAB,colab,0.7261904761904762
22,Lattice,All,0.2,13,413,COLAB,neighbor,0.7045123726346434
22,Lattice,All,0.2,13,413,COLAB,research,0.462800875273523
23,Lattice,All,0.2,13,413,COLAB,colab,0.6714285714285714
23,Lattice,All,0.2,13,413,COLAB,neighbor,0.6567656765676567
23,Lattice,All,0.2,13,413,COLAB,research,0.3933189655172414
24,Lattice,All,0.2,13,413,COLAB,colab,0.6885245901639344
24,Lattice,All,0.2,13,413,COLAB,neighbor,0.617948717948718
24,Lattice,All,0.2,13,413,COLAB,research,0.4370208105147864
25,Lattice,All,0.2,13,413,COLAB,colab,0.7288135593220338
25,Lattice,All,0.2,13,413,COLAB,neighbor,0.6896551724137931
25,Lattice,All,0.2,13,413,COLAB,research,0.42505353319057815
26,Lattice,All,0.2,13,413,COLAB,colab,0.7159090909090909
26,Lattice,All,0.2,13,413,COLAB,neighbor,0.6040955631399317
26,Lattice,All,0.2,13,413,COLAB,research,0.4148148148148148
27,Lattice,All,0.2,13,413,COLAB,colab,0.7733333333333333
27,Lattice,All,0.2,13,413,COLAB,neighbor,0.627831715210356
27,Lattice,All,0.2,13,413,COLAB,research,0.44886363636363635
28,Lattice,All,0.2,13,413,COLAB,colab,0.5121951219512195
28,Lattice,All,0.2,13,413,COLAB,neighbor,0.5858895705521472
28,Lattice,All,0.2,13,413,COLAB,research,0.4114583333333333
29,Lattice,All,0.2,13,413,COLAB,colab,0.7966101694915254
29,Lattice,All,0.2,13,413,COLAB,neighbor,0.6887052341597796
29,Lattice,All,0.2,13,413,COLAB,research,0.4348302300109529
30,Lattice,All,0.2,13,413,COLAB,colab,0.7982456140350878
30,Lattice,All,0.2,13,413,COLAB,neighbor,0.703125
30,Lattice,All,0.2,13,413,COLAB,research,0.38178096212896623
31,Lattice,All,0.2,13,413,COLAB,colab,0.7941176470588235
31,Lattice,All,0.2,13,413,COLAB,neighbor,0.6183074265975821
31,Lattice,All,0.2,13,413,COLAB,research,0.43969298245614036
32,Lattice,All,0.2,13,413,COLAB,colab,0.9107142857142857
32,Lattice,All,0.2,13,413,COLAB,neighbor,0.6869409660107334
32,Lattice,All,0.2,13,413,COLAB,research,0.43737574552683894
33,Lattice,All,0.2,13,413,COLAB,colab,0.7204301075268817
33,Lattice,All,0.2,13,413,COLAB,neighbor,0.6152542372881356
33,Lattice,All,0.2,13,413,COLAB,research,0.4003887269193392
34,Lattice,All,0.2,13,413,COLAB,colab,0.8243243243243243
34,Lattice,All,0.2,13,413,COLAB,neighbor,0.6671850699844479
34,Lattice,All,0.2,13,413,COLAB,research,0.4435564435564436
35,Lattice,All,0.2,13,413,COLAB,colab,0.7184466019417476
35,Lattice,All,0.2,13,413,COLAB,neighbor,0.6641452344931922
35,Lattice,All,0.2,13,413,COLAB,research,0.4561965811965812
36,Lattice,All,0.2,13,413,COLAB,colab,0.7446808510638298
36,Lattice,All,0.2,13,413,COLAB,neighbor,0.6316568047337278
36,Lattice,All,0.2,13,413,COLAB,research,0.4161849710982659
37,Lattice,All,0.2,13,413,COLAB,colab,0.7727272727272727
37,Lattice,All,0.2,13,413,COLAB,neighbor,0.6475037821482602
37,Lattice,All,0.2,13,413,COLAB,research,0.4728682170542636
