network,colab_cond,switch_all,switch_testing,orig_agents
Lattice,COLAB,29399,12454,200960
NA,NA,0,0,0
Lattice,COLAB,33305,16090,185330
NA,NA,0,0,0
Lattice,COLAB,32330,14293,194650
NA,NA,0,0,0
Lattice,COLAB,30336,13905,186360
NA,NA,0,0,0
Lattice,COLAB,34420,18230,170130
NA,NA,0,0,0
Lattice,COLAB,33509,16796,176940
NA,NA,0,0,0
Lattice,COLAB,98733,46259,112040
NA,NA,0,0,0
Lattice,COLAB,45901,22043,168740
NA,NA,0,0,0
Lattice,COLAB,83153,38655,126220
NA,NA,0,0,0
Lattice,COLAB,86451,47495,92260
NA,NA,0,0,0
Lattice,COLAB,45492,24240,149360
NA,NA,0,0,0
Lattice,COLAB,77125,40912,106150
NA,NA,0,0,0
Lattice,COLAB,83674,42221,155110
NA,NA,0,0,0
Lattice,COLAB,87326,41898,153360
NA,NA,0,0,0
Lattice,COLAB,93337,46595,149430
NA,NA,0,0,0
Lattice,COLAB,78221,48822,137770
NA,NA,0,0,0
Lattice,COLAB,83184,49288,135620
NA,NA,0,0,0
Lattice,COLAB,85894,53515,131090
NA,NA,0,0,0
Lattice,COLAB,39040,16996,178890
NA,NA,0,0,0
Lattice,COLAB,35540,14627,178480
NA,NA,0,0,0
Lattice,COLAB,39523,17650,176310
NA,NA,0,0,0
Lattice,COLAB,38504,18432,159330
NA,NA,0,0,0
Lattice,COLAB,35552,16613,161060
NA,NA,0,0,0
Lattice,COLAB,39542,20053,158040
NA,NA,0,0,0
Lattice,COLAB,106004,47279,112180
NA,NA,0,0,0
Lattice,COLAB,35923,15063,177110
NA,NA,0,0,0
Lattice,COLAB,78551,35097,136340
NA,NA,0,0,0
Lattice,COLAB,93329,50054,93240
NA,NA,0,0,0
Lattice,COLAB,38044,18373,160520
NA,NA,0,0,0
Lattice,COLAB,74804,38703,115740
NA,NA,0,0,0
Lattice,COLAB,84691,41720,150360
NA,NA,0,0,0
Lattice,COLAB,69817,33721,158190
NA,NA,0,0,0
Lattice,COLAB,88675,43413,149600
NA,NA,0,0,0
Lattice,COLAB,81951,50040,131810
NA,NA,0,0,0
Lattice,COLAB,70952,41319,138340
NA,NA,0,0,0
Lattice,COLAB,85697,52213,129650
NA,NA,0,0,0
Lattice,COLAB,27682,11717,204330
NA,NA,0,0,0
Lattice,COLAB,32297,16159,186110
NA,NA,0,0,0
Lattice,COLAB,31139,13928,195700
NA,NA,0,0,0
Lattice,COLAB,28819,13370,189720
NA,NA,0,0,0
Lattice,COLAB,31875,17363,171240
NA,NA,0,0,0
Lattice,COLAB,30732,15102,178630
NA,NA,0,0,0
Lattice,COLAB,96680,45172,111870
NA,NA,0,0,0
Lattice,COLAB,42941,21605,172610
NA,NA,0,0,0
Lattice,COLAB,77588,37712,126210
NA,NA,0,0,0
Lattice,COLAB,90091,49573,93980
NA,NA,0,0,0
Lattice,COLAB,39690,22436,152670
NA,NA,0,0,0
Lattice,COLAB,73706,40731,107930
NA,NA,0,0,0
Lattice,COLAB,77136,40396,157710
NA,NA,0,0,0
Lattice,COLAB,77421,39102,158160
NA,NA,0,0,0
Lattice,COLAB,84807,43708,153470
NA,NA,0,0,0
Lattice,COLAB,73899,47140,141180
NA,NA,0,0,0
Lattice,COLAB,73844,44621,140140
NA,NA,0,0,0
Lattice,COLAB,82162,52160,135820
NA,NA,0,0,0
Lattice,COLAB,21523,10137,227450
NA,NA,0,0,0
Lattice,COLAB,27440,11026,201700
NA,NA,0,0,0
Lattice,COLAB,24050,10350,218400
NA,NA,0,0,0
Lattice,COLAB,22231,11219,218870
NA,NA,0,0,0
Lattice,COLAB,27121,12500,183000
NA,NA,0,0,0
Lattice,COLAB,25568,12094,204440
NA,NA,0,0,0
Lattice,COLAB,97953,44023,114200
NA,NA,0,0,0
Lattice,COLAB,49068,20236,162690
NA,NA,0,0,0
Lattice,COLAB,81824,34901,121140
NA,NA,0,0,0
Lattice,COLAB,89588,48504,97160
NA,NA,0,0,0
Lattice,COLAB,46925,21727,142740
NA,NA,0,0,0
Lattice,COLAB,75114,37342,102680
NA,NA,0,0,0
Lattice,COLAB,85045,40518,158170
NA,NA,0,0,0
Lattice,COLAB,97843,43376,150570
NA,NA,0,0,0
Lattice,COLAB,101518,47431,150010
NA,NA,0,0,0
Lattice,COLAB,80834,48323,139790
NA,NA,0,0,0
Lattice,COLAB,92826,52102,131560
NA,NA,0,0,0
Lattice,COLAB,95585,56980,129360
NA,NA,0,0,0
Small,COLAB,37984,21946,198640
NA,NA,0,0,0
Small,COLAB,42949,26081,182800
NA,NA,0,0,0
Small,COLAB,41846,24768,191890
NA,NA,0,0,0
Small,COLAB,43775,25245,179300
NA,NA,0,0,0
Small,COLAB,47758,30254,167780
NA,NA,0,0,0
Small,COLAB,45946,28101,171680
NA,NA,0,0,0
Small,COLAB,117974,79487,101990
NA,NA,0,0,0
Small,COLAB,60484,37023,162990
NA,NA,0,0,0
Small,COLAB,102208,65919,117970
NA,NA,0,0,0
Small,COLAB,114662,81533,85910
NA,NA,0,0,0
Small,COLAB,65543,41928,145590
NA,NA,0,0,0
Small,COLAB,104304,70535,99760
NA,NA,0,0,0
Small,COLAB,104852,70470,146080
NA,NA,0,0,0
Small,COLAB,106435,67793,144200
NA,NA,0,0,0
Small,COLAB,117170,78170,140580
NA,NA,0,0,0
Small,COLAB,107780,78189,128280
NA,NA,0,0,0
Small,COLAB,112056,76512,127050
NA,NA,0,0,0
Small,COLAB,116999,84094,123390
NA,NA,0,0,0
Small,COLAB,48860,28216,173860
NA,NA,0,0,0
Small,COLAB,43522,23210,178780
NA,NA,0,0,0
Small,COLAB,50145,29281,172770
NA,NA,0,0,0
Small,COLAB,57432,33277,157360
NA,NA,0,0,0
Small,COLAB,47792,27413,160960
NA,NA,0,0,0
Small,COLAB,53351,32899,154270
NA,NA,0,0,0
Small,COLAB,124657,80651,102490
NA,NA,0,0,0
Small,COLAB,42400,23001,174960
NA,NA,0,0,0
Small,COLAB,101027,61079,130060
NA,NA,0,0,0
Small,COLAB,127031,87315,86690
NA,NA,0,0,0
Small,COLAB,46948,26907,158430
NA,NA,0,0,0
Small,COLAB,105063,66673,108910
NA,NA,0,0,0
Small,COLAB,105040,70781,140210
NA,NA,0,0,0
Small,COLAB,99797,64345,143990
NA,NA,0,0,0
Small,COLAB,115977,77319,137050
NA,NA,0,0,0
Small,COLAB,108724,78598,123720
NA,NA,0,0,0
Small,COLAB,109306,74960,126000
NA,NA,0,0,0
Small,COLAB,114602,82591,118020
NA,NA,0,0,0
Small,COLAB,35747,20223,200140
NA,NA,0,0,0
Small,COLAB,41678,26193,186020
NA,NA,0,0,0
Small,COLAB,38168,22334,191700
NA,NA,0,0,0
Small,COLAB,42150,24294,182520
NA,NA,0,0,0
Small,COLAB,44653,29074,167160
NA,NA,0,0,0
Small,COLAB,44148,26937,174840
NA,NA,0,0,0
Small,COLAB,117798,79503,105040
NA,NA,0,0,0
Small,COLAB,54018,35161,168380
NA,NA,0,0,0
Small,COLAB,95485,63087,120960
NA,NA,0,0,0
Small,COLAB,118538,83688,85550
NA,NA,0,0,0
Small,COLAB,59606,40399,149760
NA,NA,0,0,0
Small,COLAB,100303,69130,102290
NA,NA,0,0,0
Small,COLAB,96644,66536,149320
NA,NA,0,0,0
Small,COLAB,97477,64056,149210
NA,NA,0,0,0
Small,COLAB,106429,73199,144940
NA,NA,0,0,0
Small,COLAB,101982,75169,132440
NA,NA,0,0,0
Small,COLAB,102589,72115,131560
NA,NA,0,0,0
Small,COLAB,114218,83380,126260
NA,NA,0,0,0
Small,COLAB,25206,15615,229910
NA,NA,0,0,0
Small,COLAB,33392,18188,198800
NA,NA,0,0,0
Small,COLAB,30621,17626,216560
NA,NA,0,0,0
Small,COLAB,29798,18301,215040
NA,NA,0,0,0
Small,COLAB,39442,22797,181280
NA,NA,0,0,0
Small,COLAB,34703,20331,202180
NA,NA,0,0,0
Small,COLAB,116003,77683,104050
NA,NA,0,0,0
Small,COLAB,62808,34711,158680
NA,NA,0,0,0
Small,COLAB,98679,60025,115570
NA,NA,0,0,0
Small,COLAB,116049,82096,87500
NA,NA,0,0,0
Small,COLAB,67876,39538,138750
NA,NA,0,0,0
Small,COLAB,99065,62687,96370
NA,NA,0,0,0
Small,COLAB,106740,67994,150870
NA,NA,0,0,0
Small,COLAB,121598,72846,141550
NA,NA,0,0,0
Small,COLAB,126718,80363,138550
NA,NA,0,0,0
Small,COLAB,111330,77171,131160
NA,NA,0,0,0
Small,COLAB,127119,82468,122950
NA,NA,0,0,0
Small,COLAB,127654,89372,120650
NA,NA,0,0,0
