network,colab_cond,switch_all,switch_testing,orig_agents
Lattice,COLAB,181571,117594,382406
Lattice,NOLAB,268158,178851,321149
Lattice,COLAB,222887,145733,354267
Lattice,NOLAB,319830,211524,288476
Lattice,COLAB,200984,131157,368843
Lattice,NOLAB,293082,196473,303527
Lattice,COLAB,223128,147045,352955
Lattice,NOLAB,326872,217998,282002
Lattice,COLAB,264972,177114,322886
Lattice,NOLAB,374128,249953,250047
Lattice,COLAB,246229,164929,335071
Lattice,NOLAB,349208,235659,264341
Lattice,COLAB,394011,287824,212176
Lattice,NOLAB,435606,353541,146459
Lattice,COLAB,266137,180272,319728
Lattice,NOLAB,364776,255009,244991
Lattice,COLAB,364967,261379,238621
Lattice,NOLAB,427452,335911,164089
Lattice,COLAB,419923,323237,176763
Lattice,NOLAB,464904,381617,118383
Lattice,COLAB,311116,216120,283880
Lattice,NOLAB,414616,294270,205730
Lattice,COLAB,399381,298390,201610
Lattice,NOLAB,463168,367454,132546
Lattice,COLAB,306766,204862,295138
Lattice,NOLAB,358296,252660,247340
Lattice,COLAB,316652,207645,292355
Lattice,NOLAB,365460,255788,244212
Lattice,COLAB,323965,215182,284818
Lattice,NOLAB,366294,258908,241092
Lattice,COLAB,337685,238498,261502
Lattice,NOLAB,407648,289358,210642
Lattice,COLAB,351064,242937,257063
Lattice,NOLAB,416728,293026,206974
Lattice,COLAB,353350,249485,250515
Lattice,NOLAB,415992,295435,204565
Lattice,COLAB,248428,161618,338382
Lattice,NOLAB,352272,236247,263753
Lattice,COLAB,258158,161119,338881
Lattice,NOLAB,366228,231352,268648
Lattice,COLAB,250351,164181,335819
Lattice,NOLAB,349914,235289,264711
Lattice,COLAB,295184,195292,304708
Lattice,NOLAB,402720,270230,229770
Lattice,COLAB,302760,193754,306246
Lattice,NOLAB,421224,269180,230820
Lattice,COLAB,295606,199294,300706
Lattice,NOLAB,405920,274160,225840
Lattice,COLAB,406676,286854,213146
Lattice,NOLAB,446286,348420,151580
Lattice,COLAB,259477,162614,337386
Lattice,NOLAB,368190,234208,265792
Lattice,COLAB,356099,241699,258301
Lattice,NOLAB,436038,317316,182684
Lattice,COLAB,431737,321896,178104
Lattice,NOLAB,477600,378509,121491
Lattice,COLAB,304044,194840,305160
Lattice,NOLAB,421584,270628,229372
Lattice,COLAB,395860,279220,220780
Lattice,NOLAB,475376,350360,149640
Lattice,COLAB,322309,214135,285865
Lattice,NOLAB,370614,267094,232906
Lattice,COLAB,302143,198778,301222
Lattice,NOLAB,367650,261638,238362
Lattice,COLAB,327091,215483,284517
Lattice,NOLAB,375504,270147,229853
Lattice,COLAB,354951,251025,248975
Lattice,NOLAB,416416,303305,196695
Lattice,COLAB,342952,237962,262038
Lattice,NOLAB,416320,299255,200745
Lattice,COLAB,361241,254589,245411
Lattice,NOLAB,421936,306811,193189
Lattice,COLAB,171184,111705,388295
Lattice,NOLAB,249324,167523,332477
Lattice,COLAB,212621,144642,355358
Lattice,NOLAB,305556,212339,287661
Lattice,COLAB,195203,128706,371294
Lattice,NOLAB,283902,191937,308063
Lattice,COLAB,210659,140113,359887
Lattice,NOLAB,308816,207630,292370
Lattice,COLAB,251131,174521,325479
Lattice,NOLAB,356752,250747,249253
Lattice,COLAB,236956,159715,340285
Lattice,NOLAB,341488,232307,267693
Lattice,COLAB,391820,287684,212316
Lattice,NOLAB,433122,353940,146060
Lattice,COLAB,248177,173477,326523
Lattice,NOLAB,342024,247766,252234
Lattice,COLAB,355106,258471,241529
Lattice,NOLAB,420486,333055,166945
Lattice,COLAB,418187,322405,177595
Lattice,NOLAB,463152,383651,116349
Lattice,COLAB,289794,208475,291525
Lattice,NOLAB,389744,285708,214292
Lattice,COLAB,389338,294461,205539
Lattice,NOLAB,455656,364281,135719
Lattice,COLAB,291516,199753,300247
Lattice,NOLAB,342444,245882,254118
Lattice,COLAB,295917,199241,300759
Lattice,NOLAB,346332,246982,253018
Lattice,COLAB,305931,208613,291387
Lattice,NOLAB,350982,252914,247086
Lattice,COLAB,324331,234237,265763
Lattice,NOLAB,392712,284161,215839
Lattice,COLAB,330564,234656,265344
Lattice,NOLAB,395488,284111,215889
Lattice,COLAB,338098,243222,256778
Lattice,NOLAB,399160,288690,211310
Lattice,COLAB,101149,65633,434367
Lattice,NOLAB,114426,78235,421765
Lattice,COLAB,191948,118473,381527
Lattice,NOLAB,289566,181677,318323
Lattice,COLAB,134996,85167,414833
Lattice,NOLAB,188880,122834,377166
Lattice,COLAB,126951,84289,415711
Lattice,NOLAB,149024,102049,397951
Lattice,COLAB,235521,149350,350650
Lattice,NOLAB,345296,217631,282369
Lattice,COLAB,170728,110431,389569
Lattice,NOLAB,237136,155409,344591
Lattice,COLAB,401553,282721,217279
Lattice,NOLAB,452112,343940,156060
Lattice,COLAB,292110,192017,307983
Lattice,NOLAB,393288,268836,231164
Lattice,COLAB,383966,270533,229467
Lattice,NOLAB,446436,343176,156824
Lattice,COLAB,427268,317072,182928
Lattice,NOLAB,485248,375122,124878
Lattice,COLAB,335757,226006,273994
Lattice,NOLAB,441864,304659,195341
Lattice,COLAB,416282,305497,194503
Lattice,NOLAB,480520,373312,126688
Lattice,COLAB,314707,198776,301224
Lattice,NOLAB,376320,249362,250638
Lattice,COLAB,345259,213275,286725
Lattice,NOLAB,394560,260896,239104
Lattice,COLAB,342604,215291,284709
Lattice,NOLAB,387894,258352,241648
Lattice,COLAB,350738,234286,265714
Lattice,NOLAB,427296,284711,215289
Lattice,COLAB,381474,250730,249270
Lattice,NOLAB,448568,297128,202872
Lattice,COLAB,377025,252242,247758
Lattice,NOLAB,442656,296346,203654
Small,COLAB,191966,123553,376447
Small,NOLAB,279749,180635,319365
Small,COLAB,227791,150071,349929
Small,NOLAB,321035,210178,289822
Small,COLAB,208718,137327,362673
Small,NOLAB,297456,195999,304001
Small,COLAB,244078,157325,342675
Small,NOLAB,342032,219521,280479
Small,COLAB,272558,181247,318753
Small,NOLAB,376959,248371,251629
Small,COLAB,257732,171324,328676
Small,NOLAB,357927,236890,263110
Small,COLAB,390898,305281,194719
Small,NOLAB,431201,355004,144996
Small,COLAB,277127,189347,310653
Small,NOLAB,372203,256904,243096
Small,COLAB,369017,276203,223797
Small,NOLAB,427298,337649,162351
Small,COLAB,418618,336582,163418
Small,NOLAB,459052,383334,116666
Small,COLAB,323490,224626,275374
Small,NOLAB,423128,295293,204707
Small,COLAB,405719,311440,188560
Small,NOLAB,461197,369494,130506
Small,COLAB,317333,221458,278542
Small,NOLAB,360527,252329,247671
Small,COLAB,330473,223997,276003
Small,NOLAB,368701,255497,244503
Small,COLAB,334465,232944,267056
Small,NOLAB,369346,258424,241576
Small,COLAB,356655,254812,245188
Small,NOLAB,410790,288735,211265
Small,COLAB,372566,258831,241169
Small,NOLAB,420271,292775,207225
Small,COLAB,370590,264809,235191
Small,NOLAB,418323,295031,204969
Small,COLAB,258304,168126,331874
Small,NOLAB,356995,231920,268080
Small,COLAB,260156,162094,337906
Small,NOLAB,369845,230867,269133
Small,COLAB,258617,171015,328985
Small,NOLAB,354344,235305,264695
Small,COLAB,311024,201109,298891
Small,NOLAB,414404,268668,231332
Small,COLAB,307638,194550,305450
Small,NOLAB,425215,267152,232848
Small,COLAB,306822,205064,294936
Small,NOLAB,411662,272867,227133
Small,COLAB,402548,304773,195227
Small,NOLAB,437541,351721,148279
Small,COLAB,263918,164862,335138
Small,NOLAB,371244,232375,267625
Small,COLAB,363712,254597,245403
Small,NOLAB,434231,319400,180600
Small,COLAB,431750,336673,163327
Small,NOLAB,468174,382734,117266
Small,COLAB,312008,197900,302100
Small,NOLAB,426872,269347,230653
Small,COLAB,408683,293305,206695
Small,NOLAB,474674,354774,145226
Small,COLAB,326303,232274,267726
Small,NOLAB,366993,265950,234050
Small,COLAB,325484,224170,275830
Small,NOLAB,366491,261932,238068
Small,COLAB,339890,240784,259216
Small,NOLAB,372717,268733,231267
Small,COLAB,362747,265888,234112
Small,NOLAB,415030,302897,197103
Small,COLAB,369526,261383,238617
Small,NOLAB,417789,299332,200668
Small,COLAB,375122,274584,225416
Small,NOLAB,419627,305678,194322
Small,COLAB,181958,118043,381957
Small,NOLAB,262955,170569,329431
Small,COLAB,215248,148224,351776
Small,NOLAB,306017,210712,289288
Small,COLAB,201927,133886,366114
Small,NOLAB,290320,192907,307093
Small,COLAB,234162,151324,348676
Small,NOLAB,329752,213920,286080
Small,COLAB,260266,181030,318970
Small,NOLAB,358747,248590,251410
Small,COLAB,250117,167034,332966
Small,NOLAB,349230,233199,266801
Small,COLAB,387209,303268,196732
Small,NOLAB,428506,355937,144063
Small,COLAB,255278,181758,318242
Small,NOLAB,344944,247836,252164
Small,COLAB,356193,269129,230871
Small,NOLAB,419282,333497,166503
Small,COLAB,421164,337761,162239
