orig_type,old_model,selected_model,count
Bo,1,5,33
Bo,1,6,41
Bo,2,5,83
Bo,3,6,79
Bo,4,7,32
Bo,4,8,35
Bo,4,9,40
Bo,5,2,144
Bo,6,3,119
Bo,7,4,71
Bo,7,10,78
Bo,7,11,77
Bo,8,4,70
Bo,8,10,73
Bo,8,12,58
Bo,9,4,55
Bo,9,11,70
Bo,9,12,61
Bo,10,7,319
Bo,10,8,297
Bo,10,13,302
Bo,11,7,299
Bo,11,9,295
Bo,11,13,290
Bo,12,8,285
Bo,12,9,280
Bo,12,13,275
Bo,13,10,10437
Bo,13,11,10505
Bo,13,12,10646
Bo,13,14,10607
Bo,14,13,1919
Mave,1,2,4
Mave,1,3,5
Mave,1,4,5
Mave,1,5,7
Mave,1,6,3
Mave,1,7,3
Mave,1,8,3
Mave,1,9,2
Mave,1,10,5
Mave,1,11,8
Mave,1,12,5
Mave,1,13,5
Mave,1,14,7
Mave,2,1,7
Mave,2,3,4
Mave,2,4,4
Mave,2,5,6
Mave,2,6,6
Mave,2,7,3
Mave,2,8,9
Mave,2,9,9
Mave,2,10,11
Mave,2,11,3
Mave,2,12,6
Mave,2,13,9
Mave,2,14,7
Mave,3,1,8
Mave,3,2,8
Mave,3,4,8
Mave,3,5,7
Mave,3,6,7
Mave,3,7,7
Mave,3,8,2
Mave,3,9,3
Mave,3,10,8
Mave,3,11,3
Mave,3,12,3
Mave,3,13,10
Mave,3,14,2
Mave,4,1,13
Mave,4,2,5
Mave,4,3,6
Mave,4,5,11
Mave,4,6,7
Mave,4,7,11
Mave,4,8,9
Mave,4,9,7
Mave,4,10,14
Mave,4,11,4
Mave,4,12,8
Mave,4,13,14
Mave,4,14,9
Mave,5,1,9
Mave,5,2,9
Mave,5,3,6
Mave,5,4,17
Mave,5,6,10
Mave,5,7,10
Mave,5,8,9
Mave,5,9,12
Mave,5,10,9
Mave,5,11,14
Mave,5,12,9
Mave,5,13,11
Mave,5,14,8
Mave,6,1,19
Mave,6,2,12
Mave,6,3,12
Mave,6,4,11
Mave,6,5,9
Mave,6,7,8
Mave,6,8,6
Mave,6,9,9
Mave,6,10,4
Mave,6,11,11
Mave,6,12,10
Mave,6,13,12
Mave,6,14,7
Mave,7,1,8
Mave,7,2,22
Mave,7,3,6
Mave,7,4,15
Mave,7,5,14
Mave,7,6,9
Mave,7,8,13
Mave,7,9,12
Mave,7,10,11
Mave,7,11,24
Mave,7,12,14
Mave,7,13,20
Mave,7,14,16
Mave,8,1,19
Mave,8,2,11
Mave,8,3,10
Mave,8,4,13
Mave,8,5,18
Mave,8,6,14
Mave,8,7,14
Mave,8,9,12
Mave,8,10,18
Mave,8,11,22
Mave,8,12,18
Mave,8,13,12
Mave,8,14,20
Mave,9,1,20
