replica,population,network,sigma,true_model,net_size,colab_cond,FPTT
1,All,Lattice,0.2,13,413,COLAB,41.5
2,All,Lattice,0.2,13,413,COLAB,26
3,All,Lattice,0.2,13,413,COLAB,97.5
4,All,Lattice,0.2,13,413,COLAB,13.5
5,All,Lattice,0.2,13,413,COLAB,215
6,All,Lattice,0.2,13,413,COLAB,50.5
7,All,Lattice,0.2,13,413,COLAB,135
8,All,Lattice,0.2,13,413,COLAB,67
9,All,Lattice,0.2,13,413,COLAB,13.5
10,All,Lattice,0.2,13,413,COLAB,56.5
11,All,Lattice,0.2,13,413,COLAB,13
12,All,Lattice,0.2,13,413,COLAB,56
13,All,Lattice,0.2,13,413,COLAB,107.5
14,All,Lattice,0.2,13,413,COLAB,141
15,All,Lattice,0.2,13,413,COLAB,34
16,All,Lattice,0.2,13,413,COLAB,58
17,All,Lattice,0.2,13,413,COLAB,21
18,All,Lattice,0.2,13,413,COLAB,39
19,All,Lattice,0.2,13,413,COLAB,166
20,All,Lattice,0.2,13,413,COLAB,186.5
21,All,Lattice,0.2,13,413,COLAB,1
22,All,Lattice,0.2,13,413,COLAB,1
23,All,Lattice,0.2,13,413,COLAB,25
24,All,Lattice,0.2,13,413,COLAB,40
25,All,Lattice,0.2,13,413,COLAB,45
26,All,Lattice,0.2,13,413,COLAB,80.5
27,All,Lattice,0.2,13,413,COLAB,81
28,All,Lattice,0.2,13,413,COLAB,50
29,All,Lattice,0.2,13,413,COLAB,30
30,All,Lattice,0.2,13,413,COLAB,31.5
31,All,Lattice,0.2,13,413,COLAB,238
32,All,Lattice,0.2,13,413,COLAB,1
33,All,Lattice,0.2,13,413,COLAB,79
34,All,Lattice,0.2,13,413,COLAB,67
35,All,Lattice,0.2,13,413,COLAB,16
36,All,Lattice,0.2,13,413,COLAB,188
37,All,Lattice,0.2,13,413,COLAB,32.5
38,All,Lattice,0.2,13,413,COLAB,52.5
39,All,Lattice,0.2,13,413,COLAB,37
40,All,Lattice,0.2,13,413,COLAB,112
41,All,Lattice,0.2,13,413,COLAB,7
42,All,Lattice,0.2,13,413,COLAB,42
43,All,Lattice,0.2,13,413,COLAB,71.5
44,All,Lattice,0.2,13,413,COLAB,72
45,All,Lattice,0.2,13,413,COLAB,24
46,All,Lattice,0.2,13,413,COLAB,50
47,All,Lattice,0.2,13,413,COLAB,1
48,All,Lattice,0.2,13,413,COLAB,39.5
49,All,Lattice,0.2,13,413,COLAB,123.5
