replica,network,population,true_model,sigma,net_size,colab_cond,TAT50
1,Lattice,All,13,0.2,413,COLAB,0.9210593983029056
2,Lattice,All,13,0.2,413,COLAB,0.9238291302110139
3,Lattice,All,13,0.2,413,COLAB,0.9131631631631631
4,Lattice,All,13,0.2,413,COLAB,0.9153904092392668
5,Lattice,All,13,0.2,413,COLAB,0.8831683168316832
6,Lattice,All,13,0.2,413,COLAB,0.9313325330132053
7,Lattice,All,13,0.2,413,COLAB,0.915489404641776
8,Lattice,All,13,0.2,413,COLAB,0.9102727504460871
9,Lattice,All,13,0.2,413,COLAB,0.916795466254508
10,Lattice,All,13,0.2,413,COLAB,0.9234718826405868
11,Lattice,All,13,0.2,413,COLAB,0.9357212953876349
12,Lattice,All,13,0.2,413,COLAB,0.9245187436676798
13,Lattice,All,13,0.2,413,COLAB,0.9065281899109793
14,Lattice,All,13,0.2,413,COLAB,0.8775249296855024
15,Lattice,All,13,0.2,413,COLAB,0.9073053892215569
16,Lattice,All,13,0.2,413,COLAB,0.934734783671474
17,Lattice,All,13,0.2,413,COLAB,0.9458703939008895
18,Lattice,All,13,0.2,413,COLAB,0.9158475185806761
19,Lattice,All,13,0.2,413,COLAB,0.9045848822800495
20,Lattice,All,13,0.2,413,COLAB,0.92041015625
21,Lattice,All,13,0.2,413,COLAB,0.9057504175614411
22,Lattice,All,13,0.2,413,COLAB,0.92858877823658
23,Lattice,All,13,0.2,413,COLAB,0.925700365408039
24,Lattice,All,13,0.2,413,COLAB,0.9208248472505092
25,Lattice,All,13,0.2,413,COLAB,0.9198343079922028
26,Lattice,All,13,0.2,413,COLAB,0.9166259168704156
27,Lattice,All,13,0.2,413,COLAB,0.9398315282791817
28,Lattice,All,13,0.2,413,COLAB,0.9185128596893303
29,Lattice,All,13,0.2,413,COLAB,0.9049557098395978
30,Lattice,All,13,0.2,413,COLAB,0.9258072467340399
31,Lattice,All,13,0.2,413,COLAB,0.9237204724409449
32,Lattice,All,13,0.2,413,COLAB,0.930295566502463
33,Lattice,All,13,0.2,413,COLAB,0.9421508034610631
34,Lattice,All,13,0.2,413,COLAB,0.9102727504460871
35,Lattice,All,13,0.2,413,COLAB,0.9145569620253164
36,Lattice,All,13,0.2,413,COLAB,0.9197115384615384
37,Lattice,All,13,0.2,413,COLAB,0.93
38,Lattice,All,13,0.2,413,COLAB,0.9119576185671039
39,Lattice,All,13,0.2,413,COLAB,0.9360564065159251
40,Lattice,All,13,0.2,413,COLAB,0.9070110701107011
41,Lattice,All,13,0.2,413,COLAB,0.9190382728164868
42,Lattice,All,13,0.2,413,COLAB,0.8939835674529553
43,Lattice,All,13,0.2,413,COLAB,0.9238117984236924
44,Lattice,All,13,0.2,413,COLAB,0.8977732793522267
45,Lattice,All,13,0.2,413,COLAB,0.9338662790697675
46,Lattice,All,13,0.2,413,COLAB,0.8946710032524393
47,Lattice,All,13,0.2,413,COLAB,0.9386071341907304
48,Lattice,All,13,0.2,413,COLAB,0.9188078108941419
49,Lattice,All,13,0.2,413,COLAB,0.9075333837238599
50,Lattice,All,13,0.2,413,COLAB,0.928428927680798
1,Lattice,All,13,0.2,413,NOLAB,0.9518674792936397
2,Lattice,All,13,0.2,413,NOLAB,0.9453196001211754
3,Lattice,All,13,0.2,413,NOLAB,0.9192204934779192
4,Lattice,All,13,0.2,413,NOLAB,0.932348367029549
5,Lattice,All,13,0.2,413,NOLAB,0.9459291485394655
6,Lattice,All,13,0.2,413,NOLAB,0.9380627134430302
7,Lattice,All,13,0.2,413,NOLAB,0.9369120986052546
8,Lattice,All,13,0.2,413,NOLAB,0.9473284760170007
9,Lattice,All,13,0.2,413,NOLAB,0.9276060276526332
10,Lattice,All,13,0.2,413,NOLAB,0.9472270500869016
11,Lattice,All,13,0.2,413,NOLAB,0.9494613434727504
12,Lattice,All,13,0.2,413,NOLAB,0.9480278422273782
13,Lattice,All,13,0.2,413,NOLAB,0.9466125507336872
14,Lattice,All,13,0.2,413,NOLAB,0.9477786438035853
15,Lattice,All,13,0.2,413,NOLAB,0.9343720491029273
16,Lattice,All,13,0.2,413,NOLAB,0.9563918757467145
17,Lattice,All,13,0.2,413,NOLAB,0.9335423197492163
18,Lattice,All,13,0.2,413,NOLAB,0.9024312220089571
19,Lattice,All,13,0.2,413,NOLAB,0.9373991610196838
20,Lattice,All,13,0.2,413,NOLAB,0.9409937888198758
21,Lattice,All,13,0.2,413,NOLAB,0.9336805023740236
22,Lattice,All,13,0.2,413,NOLAB,0.925229286491528
23,Lattice,All,13,0.2,413,NOLAB,0.9233941316415544
24,Lattice,All,13,0.2,413,NOLAB,0.9333846153846154
25,Lattice,All,13,0.2,413,NOLAB,0.945468509984639
26,Lattice,All,13,0.2,413,NOLAB,0.9220654265554843
27,Lattice,All,13,0.2,413,NOLAB,0.9449812967581047
28,Lattice,All,13,0.2,413,NOLAB,0.9503535198278512
29,Lattice,All,13,0.2,413,NOLAB,0.9418176235799816
30,Lattice,All,13,0.2,413,NOLAB,0.9357769906052672
31,Lattice,All,13,0.2,413,NOLAB,0.9347892956013534
32,Lattice,All,13,0.2,413,NOLAB,0.9329513781356457
33,Lattice,All,13,0.2,413,NOLAB,0.9372593068035944
34,Lattice,All,13,0.2,413,NOLAB,0.9473284760170007
35,Lattice,All,13,0.2,413,NOLAB,0.959339651482727
36,Lattice,All,13,0.2,413,NOLAB,0.9530252356339313
37,Lattice,All,13,0.2,413,NOLAB,0.9457906182044113
38,Lattice,All,13,0.2,413,NOLAB,0.9357429718875502
39,Lattice,All,13,0.2,413,NOLAB,0.9491525423728814
40,Lattice,All,13,0.2,413,NOLAB,0.9367167919799498
41,Lattice,All,13,0.2,413,NOLAB,0.9332493702770781
42,Lattice,All,13,0.2,413,NOLAB,0.9420670477367526
43,Lattice,All,13,0.2,413,NOLAB,0.9477207523111253
44,Lattice,All,13,0.2,413,NOLAB,0.9369298521547657
45,Lattice,All,13,0.2,413,NOLAB,0.923040380047506
46,Lattice,All,13,0.2,413,NOLAB,0.9451070336391437
47,Lattice,All,13,0.2,413,NOLAB,0.9270882865747345
48,Lattice,All,13,0.2,413,NOLAB,0.9422956955708047
49,Lattice,All,13,0.2,413,NOLAB,0.9424270639354438
50,Lattice,All,13,0.2,413,NOLAB,0.9586176208840107
1,Lattice,All,2,0.2,413,COLAB,0.9360374414976599
2,Lattice,All,2,0.2,413,COLAB,0.9194451853827688
3,Lattice,All,2,0.2,413,COLAB,0.9037690457097033
4,Lattice,All,2,0.2,413,COLAB,0.9394100451767207
5,Lattice,All,2,0.2,413,COLAB,0.9461907298881194
6,Lattice,All,2,0.2,413,COLAB,0.9158402573036719
7,Lattice,All,2,0.2,413,COLAB,0.9174611822391718
8,Lattice,All,2,0.2,413,COLAB,0.927477840451249
9,Lattice,All,2,0.2,413,COLAB,0.9129236704326261
10,Lattice,All,2,0.2,413,COLAB,0.9175452825087862
11,Lattice,All,2,0.2,413,COLAB,0.8960621484061077
12,Lattice,All,2,0.2,413,COLAB,0.9056503198294243
13,Lattice,All,2,0.2,413,COLAB,0.9164899257688229
14,Lattice,All,2,0.2,413,COLAB,0.940959409594096
15,Lattice,All,2,0.2,413,COLAB,0.906300053390283
16,Lattice,All,2,0.2,413,COLAB,0.916578947368421
17,Lattice,All,2,0.2,413,COLAB,0.9022941970310392
18,Lattice,All,2,0.2,413,COLAB,0.9084107327141383
19,Lattice,All,2,0.2,413,COLAB,0.9097095001308558
20,Lattice,All,2,0.2,413,COLAB,0.9322731011790513
21,Lattice,All,2,0.2,413,COLAB,0.918245804006497
22,Lattice,All,2,0.2,413,COLAB,0.9181578947368421
23,Lattice,All,2,0.2,413,COLAB,0.9171887769000272
24,Lattice,All,2,0.2,413,COLAB,0.9199785177228786
25,Lattice,All,2,0.2,413,COLAB,0.9304229195088677
26,Lattice,All,2,0.2,413,COLAB,0.9161307609860665
27,Lattice,All,2,0.2,413,COLAB,0.8878169790518192
28,Lattice,All,2,0.2,413,COLAB,0.9297225891677675
29,Lattice,All,2,0.2,413,COLAB,0.9332803812549643
30,Lattice,All,2,0.2,413,COLAB,0.9011675264729839
31,Lattice,All,2,0.2,413,COLAB,0.904504990558403
32,Lattice,All,2,0.2,413,COLAB,0.9160467587672688
33,Lattice,All,2,0.2,413,COLAB,0.8903242815713156
34,Lattice,All,2,0.2,413,COLAB,0.927477840451249
35,Lattice,All,2,0.2,413,COLAB,0.9221158958001063
36,Lattice,All,2,0.2,413,COLAB,0.9303913842920936
37,Lattice,All,2,0.2,413,COLAB,0.9171754711972392
