replica,network,population,sigma,net_size,colab_cond,true_model,TAT_C
1,Lattice,All,0.2,413,COLAB,13,1
2,Lattice,All,0.2,413,COLAB,13,1
3,Lattice,All,0.2,413,COLAB,13,1
4,Lattice,All,0.2,413,COLAB,13,1
5,Lattice,All,0.2,413,COLAB,13,0.98
6,Lattice,All,0.2,413,COLAB,13,1
7,Lattice,All,0.2,413,COLAB,13,0.98
8,Lattice,All,0.2,413,COLAB,13,0.99
9,Lattice,All,0.2,413,COLAB,13,1
10,Lattice,All,0.2,413,COLAB,13,1
11,Lattice,All,0.2,413,COLAB,13,1
12,Lattice,All,0.2,413,COLAB,13,0.99
13,Lattice,All,0.2,413,COLAB,13,0.99
14,Lattice,All,0.2,413,COLAB,13,0.99
15,Lattice,All,0.2,413,COLAB,13,0.98
16,Lattice,All,0.2,413,COLAB,13,0.99
17,Lattice,All,0.2,413,COLAB,13,1
18,Lattice,All,0.2,413,COLAB,13,1
19,Lattice,All,0.2,413,COLAB,13,0.98
20,Lattice,All,0.2,413,COLAB,13,0.99
21,Lattice,All,0.2,413,COLAB,13,1
22,Lattice,All,0.2,413,COLAB,13,0.98
23,Lattice,All,0.2,413,COLAB,13,1
24,Lattice,All,0.2,413,COLAB,13,0.99
25,Lattice,All,0.2,413,COLAB,13,0.98
26,Lattice,All,0.2,413,COLAB,13,0.99
27,Lattice,All,0.2,413,COLAB,13,0.98
28,Lattice,All,0.2,413,COLAB,13,1
29,Lattice,All,0.2,413,COLAB,13,0.99
30,Lattice,All,0.2,413,COLAB,13,1
31,Lattice,All,0.2,413,COLAB,13,0.96
32,Lattice,All,0.2,413,COLAB,13,1
33,Lattice,All,0.2,413,COLAB,13,0.99
34,Lattice,All,0.2,413,COLAB,13,0.99
35,Lattice,All,0.2,413,COLAB,13,1
36,Lattice,All,0.2,413,COLAB,13,0.97
37,Lattice,All,0.2,413,COLAB,13,0.98
38,Lattice,All,0.2,413,COLAB,13,0.99
39,Lattice,All,0.2,413,COLAB,13,0.99
40,Lattice,All,0.2,413,COLAB,13,0.99
41,Lattice,All,0.2,413,COLAB,13,0.99
42,Lattice,All,0.2,413,COLAB,13,0.99
43,Lattice,All,0.2,413,COLAB,13,1
44,Lattice,All,0.2,413,COLAB,13,0.98
45,Lattice,All,0.2,413,COLAB,13,0.99
46,Lattice,All,0.2,413,COLAB,13,0.99
47,Lattice,All,0.2,413,COLAB,13,1
48,Lattice,All,0.2,413,COLAB,13,0.99
49,Lattice,All,0.2,413,COLAB,13,0.99
50,Lattice,All,0.2,413,COLAB,13,1
1,Lattice,All,0.2,413,NOLAB,13,1
