replica,network,population,true_model,sigma,net_size,colab_cond,TAT
1,Lattice,All,13,0.2,413,COLAB,0.8343736010863197
2,Lattice,All,13,0.2,413,COLAB,0.8087453689222751
3,Lattice,All,13,0.2,413,COLAB,0.823795950914595
4,Lattice,All,13,0.2,413,COLAB,0.818822003198825
5,Lattice,All,13,0.2,413,COLAB,0.8030901637379234
6,Lattice,All,13,0.2,413,COLAB,0.8538448793561008
7,Lattice,All,13,0.2,413,COLAB,0.8139814016218606
8,Lattice,All,13,0.2,413,COLAB,0.815868914867865
9,Lattice,All,13,0.2,413,COLAB,0.8258380081658314
10,Lattice,All,13,0.2,413,COLAB,0.8394004155887211
11,Lattice,All,13,0.2,413,COLAB,0.8453915556009666
12,Lattice,All,13,0.2,413,COLAB,0.8276149262445692
13,Lattice,All,13,0.2,413,COLAB,0.8244534095889525
14,Lattice,All,13,0.2,413,COLAB,0.7979158553852269
15,Lattice,All,13,0.2,413,COLAB,0.815957431384205
16,Lattice,All,13,0.2,413,COLAB,0.8330102753164538
17,Lattice,All,13,0.2,413,COLAB,0.8487036621122293
18,Lattice,All,13,0.2,413,COLAB,0.8489553431017698
19,Lattice,All,13,0.2,413,COLAB,0.8234233747685956
20,Lattice,All,13,0.2,413,COLAB,0.8327613073168886
21,Lattice,All,13,0.2,413,COLAB,0.8322838689847898
22,Lattice,All,13,0.2,413,COLAB,0.8307954792065733
23,Lattice,All,13,0.2,413,COLAB,0.8363467453911104
24,Lattice,All,13,0.2,413,COLAB,0.8178551703052032
25,Lattice,All,13,0.2,413,COLAB,0.8575729578182745
26,Lattice,All,13,0.2,413,COLAB,0.8360928740150488
27,Lattice,All,13,0.2,413,COLAB,0.846324769888375
28,Lattice,All,13,0.2,413,COLAB,0.8266147753400281
29,Lattice,All,13,0.2,413,COLAB,0.8223124327213305
30,Lattice,All,13,0.2,413,COLAB,0.8292957319456821
31,Lattice,All,13,0.2,413,COLAB,0.8254561400163962
32,Lattice,All,13,0.2,413,COLAB,0.8372636839656962
33,Lattice,All,13,0.2,413,COLAB,0.8319181604048881
34,Lattice,All,13,0.2,413,COLAB,0.815868914867865
35,Lattice,All,13,0.2,413,COLAB,0.8137400261542076
36,Lattice,All,13,0.2,413,COLAB,0.8314182110262619
37,Lattice,All,13,0.2,413,COLAB,0.820206696982224
38,Lattice,All,13,0.2,413,COLAB,0.799385144264482
39,Lattice,All,13,0.2,413,COLAB,0.8449427169154202
40,Lattice,All,13,0.2,413,COLAB,0.831398967742704
41,Lattice,All,13,0.2,413,COLAB,0.841993646146937
42,Lattice,All,13,0.2,413,COLAB,0.7977460598402437
43,Lattice,All,13,0.2,413,COLAB,0.8431614977987325
44,Lattice,All,13,0.2,413,COLAB,0.7915665957592808
45,Lattice,All,13,0.2,413,COLAB,0.8382703840306324
46,Lattice,All,13,0.2,413,COLAB,0.8068793726045139
47,Lattice,All,13,0.2,413,COLAB,0.8624455264566476
48,Lattice,All,13,0.2,413,COLAB,0.8311822351181662
49,Lattice,All,13,0.2,413,COLAB,0.8279431941371294
50,Lattice,All,13,0.2,413,COLAB,0.8361143146975177
1,Lattice,All,13,0.2,413,NOLAB,0.8265319906598602
2,Lattice,All,13,0.2,413,NOLAB,0.8434743158761048
3,Lattice,All,13,0.2,413,NOLAB,0.8256571073918184
4,Lattice,All,13,0.2,413,NOLAB,0.8347327712485737
5,Lattice,All,13,0.2,413,NOLAB,0.830529918722922
6,Lattice,All,13,0.2,413,NOLAB,0.8309888271054137
7,Lattice,All,13,0.2,413,NOLAB,0.8303180214234273
8,Lattice,All,13,0.2,413,NOLAB,0.8492636843567658
9,Lattice,All,13,0.2,413,NOLAB,0.8315933045976255
10,Lattice,All,13,0.2,413,NOLAB,0.8406237171833257
11,Lattice,All,13,0.2,413,NOLAB,0.8424604197546777
12,Lattice,All,13,0.2,413,NOLAB,0.8468340421228856
13,Lattice,All,13,0.2,413,NOLAB,0.8376257428152633
14,Lattice,All,13,0.2,413,NOLAB,0.8454767975330216
15,Lattice,All,13,0.2,413,NOLAB,0.823992207916921
16,Lattice,All,13,0.2,413,NOLAB,0.855432103586833
17,Lattice,All,13,0.2,413,NOLAB,0.8364384008744032
18,Lattice,All,13,0.2,413,NOLAB,0.8107453072643872
19,Lattice,All,13,0.2,413,NOLAB,0.8221565653842878
20,Lattice,All,13,0.2,413,NOLAB,0.8345322063976659
21,Lattice,All,13,0.2,413,NOLAB,0.8349275740160217
22,Lattice,All,13,0.2,413,NOLAB,0.8278398797965545
23,Lattice,All,13,0.2,413,NOLAB,0.8367305244118104
24,Lattice,All,13,0.2,413,NOLAB,0.8554021233004284
25,Lattice,All,13,0.2,413,NOLAB,0.8500172950536147
26,Lattice,All,13,0.2,413,NOLAB,0.8117984770146629
27,Lattice,All,13,0.2,413,NOLAB,0.8470930724037364
28,Lattice,All,13,0.2,413,NOLAB,0.845800747159076
29,Lattice,All,13,0.2,413,NOLAB,0.8426328541022837
30,Lattice,All,13,0.2,413,NOLAB,0.8380207554494336
31,Lattice,All,13,0.2,413,NOLAB,0.836450025062134
32,Lattice,All,13,0.2,413,NOLAB,0.8442632108982083
33,Lattice,All,13,0.2,413,NOLAB,0.8235491581371784
34,Lattice,All,13,0.2,413,NOLAB,0.8492636843567658
35,Lattice,All,13,0.2,413,NOLAB,0.8482604115852643
36,Lattice,All,13,0.2,413,NOLAB,0.8444120360111517
37,Lattice,All,13,0.2,413,NOLAB,0.8430794909462356
38,Lattice,All,13,0.2,413,NOLAB,0.8291439851415346
39,Lattice,All,13,0.2,413,NOLAB,0.8395717173512229
40,Lattice,All,13,0.2,413,NOLAB,0.83895915636549
41,Lattice,All,13,0.2,413,NOLAB,0.834918822158928
42,Lattice,All,13,0.2,413,NOLAB,0.8452794603323397
43,Lattice,All,13,0.2,413,NOLAB,0.8284676913292183
44,Lattice,All,13,0.2,413,NOLAB,0.8413144828311093
45,Lattice,All,13,0.2,413,NOLAB,0.8286830042617312
46,Lattice,All,13,0.2,413,NOLAB,0.8474268979866865
47,Lattice,All,13,0.2,413,NOLAB,0.8240282435983493
48,Lattice,All,13,0.2,413,NOLAB,0.8444030487629883
49,Lattice,All,13,0.2,413,NOLAB,0.8436295264247162
50,Lattice,All,13,0.2,413,NOLAB,0.8610240600823288
1,Lattice,All,2,0.2,413,COLAB,0.8193538395288839
2,Lattice,All,2,0.2,413,COLAB,0.8171438130071167
3,Lattice,All,2,0.2,413,COLAB,0.7978916955171831
4,Lattice,All,2,0.2,413,COLAB,0.8175075396414303
5,Lattice,All,2,0.2,413,COLAB,0.8283438746854042
6,Lattice,All,2,0.2,413,COLAB,0.8078204792903901
7,Lattice,All,2,0.2,413,COLAB,0.8012621667239399
8,Lattice,All,2,0.2,413,COLAB,0.8124699612837938
9,Lattice,All,2,0.2,413,COLAB,0.7874840620052216
10,Lattice,All,2,0.2,413,COLAB,0.8158968427433106
11,Lattice,All,2,0.2,413,COLAB,0.790000058376018
12,Lattice,All,2,0.2,413,COLAB,0.8019458225992142
13,Lattice,All,2,0.2,413,COLAB,0.8049095026690871
14,Lattice,All,2,0.2,413,COLAB,0.839057719529115
15,Lattice,All,2,0.2,413,COLAB,0.8117171633600457
16,Lattice,All,2,0.2,413,COLAB,0.8080725117879445
17,Lattice,All,2,0.2,413,COLAB,0.8069907493636307
18,Lattice,All,2,0.2,413,COLAB,0.8107994312800946
19,Lattice,All,2,0.2,413,COLAB,0.8108655303018302
20,Lattice,All,2,0.2,413,COLAB,0.8032606321425085
21,Lattice,All,2,0.2,413,COLAB,0.8042660632843521
22,Lattice,All,2,0.2,413,COLAB,0.8123690582388174
23,Lattice,All,2,0.2,413,COLAB,0.7959974223727231
24,Lattice,All,2,0.2,413,COLAB,0.8228732935763831
25,Lattice,All,2,0.2,413,COLAB,0.8042301860740134
26,Lattice,All,2,0.2,413,COLAB,0.8035419083432599
27,Lattice,All,2,0.2,413,COLAB,0.7881636237923495
28,Lattice,All,2,0.2,413,COLAB,0.8233014863693502
29,Lattice,All,2,0.2,413,COLAB,0.8300360086954236
30,Lattice,All,2,0.2,413,COLAB,0.8024875762534359
31,Lattice,All,2,0.2,413,COLAB,0.7895474238581416
32,Lattice,All,2,0.2,413,COLAB,0.8160121502805989
33,Lattice,All,2,0.2,413,COLAB,0.7987314468030506
34,Lattice,All,2,0.2,413,COLAB,0.8124699612837938
35,Lattice,All,2,0.2,413,COLAB,0.8130379878818772
36,Lattice,All,2,0.2,413,COLAB,0.8330932378293839
37,Lattice,All,2,0.2,413,COLAB,0.8002058143518551
38,Lattice,All,2,0.2,413,COLAB,0.8012572830614134
39,Lattice,All,2,0.2,413,COLAB,0.8061618236172614
40,Lattice,All,2,0.2,413,COLAB,0.819360108610472
41,Lattice,All,2,0.2,413,COLAB,0.7888799838796872
42,Lattice,All,2,0.2,413,COLAB,0.8221384105057482
43,Lattice,All,2,0.2,413,COLAB,0.8229142059883069
44,Lattice,All,2,0.2,413,COLAB,0.8374973054807774
45,Lattice,All,2,0.2,413,COLAB,0.8232787941006229
