replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
1,Lattice,All,13,0.2,413,COLAB,0.8343736010863197,0.9210593983029056
2,Lattice,All,13,0.2,413,COLAB,0.8087453689222751,0.9238291302110139
3,Lattice,All,13,0.2,413,COLAB,0.823795950914595,0.9131631631631631
4,Lattice,All,13,0.2,413,COLAB,0.818822003198825,0.9153904092392668
5,Lattice,All,13,0.2,413,COLAB,0.8030901637379234,0.8831683168316832
6,Lattice,All,13,0.2,413,COLAB,0.8538448793561008,0.9313325330132053
7,Lattice,All,13,0.2,413,COLAB,0.8139814016218606,0.915489404641776
8,Lattice,All,13,0.2,413,COLAB,0.815868914867865,0.9102727504460871
9,Lattice,All,13,0.2,413,COLAB,0.8258380081658314,0.916795466254508
10,Lattice,All,13,0.2,413,COLAB,0.8394004155887211,0.9234718826405868
11,Lattice,All,13,0.2,413,COLAB,0.8453915556009666,0.9357212953876349
12,Lattice,All,13,0.2,413,COLAB,0.8276149262445692,0.9245187436676798
13,Lattice,All,13,0.2,413,COLAB,0.8244534095889525,0.9065281899109793
14,Lattice,All,13,0.2,413,COLAB,0.7979158553852269,0.8775249296855024
15,Lattice,All,13,0.2,413,COLAB,0.815957431384205,0.9073053892215569
16,Lattice,All,13,0.2,413,COLAB,0.8330102753164538,0.934734783671474
17,Lattice,All,13,0.2,413,COLAB,0.8487036621122293,0.9458703939008895
18,Lattice,All,13,0.2,413,COLAB,0.8489553431017698,0.9158475185806761
19,Lattice,All,13,0.2,413,COLAB,0.8234233747685956,0.9045848822800495
20,Lattice,All,13,0.2,413,COLAB,0.8327613073168886,0.92041015625
21,Lattice,All,13,0.2,413,COLAB,0.8322838689847898,0.9057504175614411
22,Lattice,All,13,0.2,413,COLAB,0.8307954792065733,0.92858877823658
23,Lattice,All,13,0.2,413,COLAB,0.8363467453911104,0.925700365408039
24,Lattice,All,13,0.2,413,COLAB,0.8178551703052032,0.9208248472505092
25,Lattice,All,13,0.2,413,COLAB,0.8575729578182745,0.9198343079922028
26,Lattice,All,13,0.2,413,COLAB,0.8360928740150488,0.9166259168704156
27,Lattice,All,13,0.2,413,COLAB,0.846324769888375,0.9398315282791817
28,Lattice,All,13,0.2,413,COLAB,0.8266147753400281,0.9185128596893303
29,Lattice,All,13,0.2,413,COLAB,0.8223124327213305,0.9049557098395978
30,Lattice,All,13,0.2,413,COLAB,0.8292957319456821,0.9258072467340399
31,Lattice,All,13,0.2,413,COLAB,0.8254561400163962,0.9237204724409449
32,Lattice,All,13,0.2,413,COLAB,0.8372636839656962,0.930295566502463
