replica,sigma,population,network,true_model,net_size,colab_cond,stickiness_agent,stickiness_switch,stickiness_overall
1,0.2,All,Lattice,13,413,COLAB,0.936502428868841,0.7587646076794657,0.884313725490196
2,0.2,All,Lattice,13,413,COLAB,0.9294075913444484,0.7374517374517375,0.8689839572192514
3,0.2,All,Lattice,13,413,COLAB,0.9397631133671743,0.7646566164154104,0.8893709327548807
4,0.2,All,Lattice,13,413,COLAB,0.9379073756432247,0.7344537815126051,0.8789281364190012
5,0.2,All,Lattice,13,413,COLAB,0.9359322033898305,0.753391859537111,0.8815132048536759
6,0.2,All,Lattice,13,413,COLAB,0.9447910168434186,0.7614035087719299,0.8966866083755177
7,0.2,All,Lattice,13,413,COLAB,0.9323076923076923,0.7399355877616747,0.874970002399808
8,0.2,All,Lattice,13,413,COLAB,0.9343522056269538,0.7076547231270358,0.8665692719746774
9,0.2,All,Lattice,13,413,COLAB,0.9376750700280112,0.7491776315789473,0.881385068762279
10,0.2,All,Lattice,13,413,COLAB,0.9401159047005795,0.7179054054054055,0.8787878787878788
11,0.2,All,Lattice,13,413,COLAB,0.9398642095053347,0.68068669527897,0.868952559887271
12,0.2,All,Lattice,13,413,COLAB,0.9437052200614124,0.7011494252873562,0.8761693746922699
13,0.2,All,Lattice,13,413,COLAB,0.9408460013218771,0.7231298366294068,0.8804010503700167
14,0.2,All,Lattice,13,413,COLAB,0.9363215937388829,0.7493540051679586,0.8816717019133937
15,0.2,All,Lattice,13,413,COLAB,0.9421909932928777,0.7413355874894336,0.8871117292535929
16,0.2,All,Lattice,13,413,COLAB,0.9353896103896104,0.729182879377432,0.8746849942726231
17,0.2,All,Lattice,13,413,COLAB,0.939261744966443,0.7597571552471812,0.8891846116622308
18,0.2,All,Lattice,13,413,COLAB,0.94685839324789,0.7585585585585586,0.8983522859132049
19,0.2,All,Lattice,13,413,COLAB,0.9396984924623115,0.7275086505190311,0.8804636561217097
20,0.2,All,Lattice,13,413,COLAB,0.9463763405914852,0.7571942446043165,0.8961566006206731
21,0.2,All,Lattice,13,413,COLAB,0.951496062992126,0.7063870352716873,0.890625
22,0.2,All,Lattice,13,413,COLAB,0.9428204304529393,0.6915641476274166,0.8755586920724535
23,0.2,All,Lattice,13,413,COLAB,0.9418870388507998,0.7478184991273997,0.8890472796388691
24,0.2,All,Lattice,13,413,COLAB,0.9329647546648238,0.7400990099009901,0.8760350706283487
25,0.2,All,Lattice,13,413,COLAB,0.9502377179080824,0.7530516431924883,0.9004739336492891
26,0.2,All,Lattice,13,413,COLAB,0.9481648422408242,0.7547892720306514,0.8995180722891566
27,0.2,All,Lattice,13,413,COLAB,0.9398119122257054,0.7300813008130081,0.881447963800905
28,0.2,All,Lattice,13,413,COLAB,0.9344262295081968,0.7621320604614161,0.8826762246117085
29,0.2,All,Lattice,13,413,COLAB,0.9407477820025348,0.7043478260869565,0.8776126335346028
30,0.2,All,Lattice,13,413,COLAB,0.9442805637495904,0.7456896551724138,0.8895749228211827
31,0.2,All,Lattice,13,413,COLAB,0.9436944352979915,0.7450302506482283,0.8888888888888888
32,0.2,All,Lattice,13,413,COLAB,0.942005242463958,0.7239896818572658,0.8818505338078292
33,0.2,All,Lattice,13,413,COLAB,0.9349405548216645,0.758648431214803,0.8836338094123156
34,0.2,All,Lattice,13,413,COLAB,0.9343522056269538,0.7076547231270358,0.8665692719746774
35,0.2,All,Lattice,13,413,COLAB,0.9354023818116204,0.7185374149659864,0.8707879402077527
36,0.2,All,Lattice,13,413,COLAB,0.9448645242596093,0.7263064658990257,0.887520334650244
37,0.2,All,Lattice,13,413,COLAB,0.9451697127937336,0.7010968921389397,0.8809523809523809
38,0.2,All,Lattice,13,413,COLAB,0.9363982025578984,0.7283849918433931,0.8744840980820587
39,0.2,All,Lattice,13,413,COLAB,0.9490547901313682,0.7354048964218456,0.8948123356442744
40,0.2,All,Lattice,13,413,COLAB,0.9446808510638298,0.745685740236149,0.891963426371511
41,0.2,All,Lattice,13,413,COLAB,0.9446794663195575,0.7472340425531915,0.8900659133709982
42,0.2,All,Lattice,13,413,COLAB,0.9281215264912931,0.7373737373737373,0.8665328650275965
43,0.2,All,Lattice,13,413,COLAB,0.9455569461827285,0.7538461538461538,0.8963031853057428
44,0.2,All,Lattice,13,413,COLAB,0.9400496630010642,0.7152600170502984,0.8739979959919839
45,0.2,All,Lattice,13,413,COLAB,0.94693094629156,0.739010989010989,0.8931279620853081
46,0.2,All,Lattice,13,413,COLAB,0.9418169445389588,0.721964782205746,0.8827775012444002
47,0.2,All,Lattice,13,413,COLAB,0.9490506329113924,0.7228360957642725,0.8911917098445596
48,0.2,All,Lattice,13,413,COLAB,0.9363166953528399,0.7251461988304093,0.8746952705997074
49,0.2,All,Lattice,13,413,COLAB,0.9411167512690355,0.738799661876585,0.8832769453842436
50,0.2,All,Lattice,13,413,COLAB,0.9415864586790574,0.7318965517241379,0.8832973879702851
1,0.2,All,Lattice,13,413,NOLAB,0.9351938565274396,0.6966067864271457,0.8700803486313495
2,0.2,All,Lattice,13,413,NOLAB,0.9423527292379752,0.7535934291581109,0.8933191092145619
3,0.2,All,Lattice,13,413,NOLAB,0.936007640878701,0.7336309523809523,0.8797407254171838
4,0.2,All,Lattice,13,413,NOLAB,0.9377686413754438,0.7267297162767545,0.8801630434782609
5,0.2,All,Lattice,13,413,NOLAB,0.9377532228360957,0.7262682069311903,0.8810133405201456
6,0.2,All,Lattice,13,413,NOLAB,0.9360074626865672,0.726849456802897,0.8805704099821747
7,0.2,All,Lattice,13,413,NOLAB,0.9313590900176505,0.7187196896217265,0.8701298701298701
8,0.2,All,Lattice,13,413,NOLAB,0.9434736091298146,0.7167630057803468,0.8860338170682999
9,0.2,All,Lattice,13,413,NOLAB,0.9387411015361559,0.7209660842754368,0.8805601317957167
10,0.2,All,Lattice,13,413,NOLAB,0.9370748299319728,0.7108554277138569,0.8750514332738993
11,0.2,All,Lattice,13,413,NOLAB,0.930910467537384,0.7407762338284619,0.8770691994572591
12,0.2,All,Lattice,13,413,NOLAB,0.9402521469029783,0.7374358974358974,0.8869729219991918
13,0.2,All,Lattice,13,413,NOLAB,0.9367891105724409,0.7307496175420704,0.881622064445658
14,0.2,All,Lattice,13,413,NOLAB,0.9354898336414048,0.7367405978784957,0.8804115446285409
15,0.2,All,Lattice,13,413,NOLAB,0.935723822239176,0.7214428857715431,0.8766404199475065
16,0.2,All,Lattice,13,413,NOLAB,0.9479495268138801,0.6994505494505494,0.887855434493755
17,0.2,All,Lattice,13,413,NOLAB,0.9359190556492412,0.7246882793017456,0.8782348134023427
18,0.2,All,Lattice,13,413,NOLAB,0.938783570300158,0.6987381703470031,0.8732414585127763
19,0.2,All,Lattice,13,413,NOLAB,0.9357508868742609,0.7170658682634731,0.8738344165018367
20,0.2,All,Lattice,13,413,NOLAB,0.9417871709306637,0.7153134635149023,0.8817438692098093
21,0.2,All,Lattice,13,413,NOLAB,0.9399707174231332,0.7045215562565721,0.8791745859353788
22,0.2,All,Lattice,13,413,NOLAB,0.9380365808137364,0.7510162601626016,0.8877968877968878
23,0.2,All,Lattice,13,413,NOLAB,0.9370949294700724,0.7450099800399201,0.884
24,0.2,All,Lattice,13,413,NOLAB,0.9395415989893521,0.7333333333333334,0.884952229299363
25,0.2,All,Lattice,13,413,NOLAB,0.9381089859256586,0.7168316831683168,0.8790002644802962
26,0.2,All,Lattice,13,413,NOLAB,0.9343324788010254,0.721078431372549,0.873154268035438
27,0.2,All,Lattice,13,413,NOLAB,0.9364140480591497,0.7171414292853573,0.8772095533666172
28,0.2,All,Lattice,13,413,NOLAB,0.9449106165632981,0.7159389794844819,0.8859542191521061
29,0.2,All,Lattice,13,413,NOLAB,0.9426229508196722,0.7425373134328358,0.8916644040184633
30,0.2,All,Lattice,13,413,NOLAB,0.9411333211076471,0.7494813278008299,0.8910716705053516
31,0.2,All,Lattice,13,413,NOLAB,0.9440366972477064,0.7158176943699732,0.885850991114149
32,0.2,All,Lattice,13,413,NOLAB,0.9396519807478712,0.7155128852956039,0.8795556157702208
33,0.2,All,Lattice,13,413,NOLAB,0.9309472865201323,0.7242366412213741,0.871079176454332
34,0.2,All,Lattice,13,413,NOLAB,0.9434736091298146,0.7167630057803468,0.8860338170682999
35,0.2,All,Lattice,13,413,NOLAB,0.940446203670385,0.7206703910614525,0.8829546964261991
36,0.2,All,Lattice,13,413,NOLAB,0.9396939693969397,0.7211740041928721,0.8838268792710706
37,0.2,All,Lattice,13,413,NOLAB,0.9391677551782049,0.7125567322239033,0.877962408063198
38,0.2,All,Lattice,13,413,NOLAB,0.9341212943228057,0.7205304518664047,0.873697373905794
39,0.2,All,Lattice,13,413,NOLAB,0.9387755102040817,0.7329317269076305,0.8832294771064753
40,0.2,All,Lattice,13,413,NOLAB,0.9386651752423565,0.7315470171890799,0.8828657041678016
41,0.2,All,Lattice,13,413,NOLAB,0.9368758243828905,0.7002997002997002,0.8720755233274046
42,0.2,All,Lattice,13,413,NOLAB,0.941651376146789,0.7102564102564102,0.8806756756756757
43,0.2,All,Lattice,13,413,NOLAB,0.930635838150289,0.7203389830508475,0.8695652173913043
44,0.2,All,Lattice,13,413,NOLAB,0.9357987610287216,0.7074279939363315,0.8739392280317547
