orig_type,old_model,count,total
Bo,6,7,7
Bo,14,93917,93917
Mave,3,1,3
Mave,7,3,11
Mave,9,3,9
Mave,10,13,161
Mave,12,55,744
Mave,13,2120,29537
Mave,14,6571,94150
Rey,2,3,7
Rey,6,1,7
Rey,7,2,17
Rey,10,16,185
Rey,11,4,30
Rey,12,70,715
Rey,13,3129,29828
Rey,14,41644,94390
Tess,2,1,5
Tess,4,1,2
Tess,6,5,13
Tess,7,5,12
Tess,8,1,7
Tess,9,1,12
Tess,10,39,171
Tess,11,6,21
Tess,12,157,691
Tess,13,7345,29619
Tess,14,23774,94847
Bo,1,9,9
Bo,5,49828,49828
Bo,14,3933,3933
Mave,2,2265,33058
Mave,4,678,9812
Mave,5,3509,49966
Mave,7,515,6948
Mave,8,311,4395
Mave,9,359,4772
Mave,10,220,3022
Mave,11,201,3058
Mave,12,219,3084
Mave,13,146,2244
Mave,14,280,3914
Rey,1,2,2
Rey,2,3487,33302
Rey,4,1031,10087
Rey,5,21980,50035
Rey,7,799,7221
Rey,8,539,4669
Rey,9,529,4695
Rey,10,320,3050
Rey,11,327,3086
Rey,12,324,3134
Rey,13,237,2277
Rey,14,1645,3796
Tess,2,8387,33317
Tess,4,2424,9789
Tess,5,12505,50001
Tess,7,1812,7139
Tess,8,1186,4697
Tess,9,1116,4657
Tess,10,768,3129
Tess,11,720,2987
Tess,12,763,3177
Tess,13,589,2276
Tess,14,975,3828
Bo,1,6,6
Bo,5,1168,1168
Bo,14,35926,35926
Mave,4,40,586
Mave,5,78,1252
Mave,7,1965,27332
Mave,8,23,340
Mave,9,23,414
Mave,10,1514,20763
Mave,11,1451,20146
Mave,12,16,200
Mave,13,1259,17848
Mave,14,2600,35651
Rey,1,2,3
Rey,4,68,578
Rey,5,549,1252
Rey,7,2942,27434
Rey,8,38,303
Rey,9,57,424
Rey,10,2261,20828
Rey,11,2171,20397
Rey,12,10,204
Rey,13,1903,17900
Rey,14,16250,36301
Tess,3,1,4
Tess,4,151,584
Tess,5,292,1215
Tess,6,1,3
Tess,7,6809,27374
Tess,8,79,313
Tess,9,113,441
Tess,10,5150,20678
Tess,11,5177,20360
Tess,12,36,196
Tess,13,4417,17757
Tess,14,8992,35947
Bo,5,3,3
Bo,6,7,7
Bo,14,48012,48012
Mave,3,1,3
Mave,7,1,24
Mave,9,3,9
Mave,10,39,502
Mave,12,153,1952
Mave,13,5422,74489
Mave,14,3372,47629
Rey,2,3,7
Rey,6,1,6
Rey,7,1,20
Rey,10,47,530
Rey,11,2,41
Rey,12,239,1883
Rey,13,7971,74701
Rey,14,21460,47990
Tess,2,1,5
Tess,4,1,4
Tess,6,3,9
Tess,7,9,15
Tess,8,1,6
Tess,9,1,12
Tess,10,129,505
Tess,11,6,31
Tess,12,476,1960
Tess,13,18667,74946
Tess,14,11910,47904
Bo,1,9,9
Bo,5,30837,30837
Bo,14,23,23
Mave,2,5955,84931
Mave,4,389,5898
Mave,5,2157,30289
Mave,7,85,1156
Mave,8,57,745
Mave,9,63,730
Mave,10,8,141
Mave,11,18,173
Mave,12,9,139
Mave,13,2,51
Mave,14,1,20
Rey,1,2,4
Rey,2,9197,85538
Rey,4,663,6039
Rey,5,13503,30554
Rey,7,122,1163
Rey,8,92,785
Rey,9,70,742
Rey,10,18,147
Rey,11,14,141
Rey,12,15,168
Rey,13,4,44
Rey,14,11,30
Tess,2,21309,85097
Tess,4,1484,5973
Tess,5,7600,30629
Tess,7,293,1150
Tess,8,199,823
Tess,9,192,746
Tess,10,42,139
