orig_type,old_model,selected_model,count
Tess,2,1,2
Tess,2,2,1
Tess,2,4,2
Tess,3,1,1
Tess,3,4,1
Tess,4,3,1
Tess,4,4,1
Tess,5,7,1
Tess,6,1,3
Tess,6,6,5
Tess,6,8,5
Tess,7,3,5
Tess,7,5,2
Tess,7,7,5
Tess,8,2,1
Tess,8,6,5
Tess,8,8,1
Tess,9,2,1
Tess,9,3,10
Tess,9,9,1
Tess,10,5,47
Tess,10,6,85
Tess,10,10,39
Tess,11,3,9
Tess,11,5,6
Tess,11,11,6
Tess,12,2,171
Tess,12,6,363
Tess,12,12,157
Tess,13,5,7490
Tess,13,6,14784
Tess,13,13,7345
Tess,14,5,23729
Tess,14,6,47344
Tess,14,14,23774
Tess,1,2,1
Tess,1,3,5
Tess,2,1,16689
Tess,2,2,8387
Tess,2,4,8241
Tess,3,1,1
Tess,3,4,2
Tess,4,2,2437
Tess,4,3,4928
Tess,4,4,2424
Tess,5,1,24928
Tess,5,5,12505
Tess,5,7,12568
Tess,6,8,1
Tess,7,3,3508
Tess,7,5,1819
Tess,7,7,1812
Tess,8,2,1164
Tess,8,6,2347
Tess,8,8,1186
Tess,9,2,1113
Tess,9,3,2428
Tess,9,9,1116
Tess,10,5,778
Tess,10,6,1583
Tess,10,10,768
Tess,11,3,1497
Tess,11,5,770
Tess,11,11,720
Tess,12,2,804
Tess,12,6,1610
Tess,12,12,763
Tess,13,5,565
Tess,13,6,1122
Tess,13,13,589
Tess,14,5,969
Tess,14,6,1884
Tess,14,14,975
Tess,1,3,3
Tess,3,1,1
Tess,3,3,1
Tess,3,4,2
Tess,4,2,163
Tess,4,3,270
Tess,4,4,151
Tess,5,1,619
Tess,5,5,292
Tess,5,7,304
Tess,6,6,1
Tess,6,8,2
Tess,7,3,13760
Tess,7,5,6805
Tess,7,7,6809
Tess,8,2,80
Tess,8,6,154
Tess,8,8,79
Tess,9,2,117
Tess,9,3,211
Tess,9,9,113
Tess,10,5,5108
Tess,10,6,10420
Tess,10,10,5150
