orig_type,count,total
Bo,93924,124745
Mave,8766,124656
Rey,44869,125196
Tess,31335,125403
Bo,53770,125351
Mave,8703,124284
Rey,31220,125358
Tess,31245,125007
Bo,37100,124955
Mave,8969,124539
Rey,26251,125631
Tess,31218,124875
Bo,48022,124745
Mave,8991,124656
Rey,29724,125196
Tess,31204,125403
Bo,30869,125351
Mave,8744,124284
Rey,23711,125358
Tess,31213,125007
Bo,4685,124955
Mave,8895,124539
Rey,14990,125631
Tess,31207,124875
Bo,81162,124745
Mave,8894,124656
Rey,40811,125196
Tess,31475,125403
Bo,53799,125351
Mave,8645,124284
Rey,31210,125358
Tess,30926,125007
Bo,39289,124955
Mave,8796,124539
Rey,26630,125631
Tess,31311,124875
Bo,38122,124745
Mave,8760,124656
Rey,26179,125196
Tess,31282,125403
Bo,32985,125351
Mave,8773,124284
Rey,23771,125358
Tess,29530,125007
Bo,26888,124955
Mave,8932,124539
Rey,22481,125631
Tess,31204,124875
Bo,66823,124745
Mave,8689,124656
Rey,33534,125196
Tess,24407,125403
Bo,60167,125351
Mave,8868,124284
Rey,30704,125358
Tess,23423,125007
Bo,61534,124955
Mave,8813,124539
Rey,31653,125631
Tess,24700,124875
Bo,93592,124745
Mave,8848,124656
Rey,37552,125196
Tess,10290,125403
Bo,80450,125351
Mave,8736,124284
Rey,33821,125358
Tess,12260,125007
Bo,83742,124955
Mave,8707,124539
Rey,35263,125631
Tess,12702,124875
Bo,494280,495038
Mave,124,1710
Rey,1629,1643
Tess,394,1609
Bo,487615,494862
Mave,115,1731
Rey,1644,1675
Tess,415,1732
Bo,490691,495001
Mave,122,1672
Rey,1618,1645
Tess,445,1682
Bo,491381,495038
Mave,115,1710
Rey,1616,1643
Tess,412,1609
Bo,468937,494862
Mave,122,1731
Rey,1576,1675
Tess,451,1732
Bo,466100,495001
Mave,102,1672
Rey,1540,1645
Tess,418,1682
Bo,493880,495038
Mave,113,1710
Rey,1630,1643
Tess,404,1609
Bo,487624,494862
Mave,112,1731
Rey,1639,1675
Tess,411,1732
Bo,489871,495001
Mave,121,1672
Rey,1617,1645
Tess,444,1682
Bo,486990,495038
Mave,96,1710
Rey,1600,1643
Tess,415,1609
Bo,464951,494862
Mave,116,1731
Rey,1568,1675
Tess,431,1732
Bo,459479,495001
Mave,114,1672
Rey,1503,1645
Tess,407,1682
Bo,490047,495038
Mave,119,1710
Rey,1621,1643
Tess,320,1609
Bo,486880,494862
Mave,124,1731
Rey,1638,1675
Tess,326,1732
Bo,488440,495001
Mave,114,1672
Rey,1608,1645
Tess,326,1682
Bo,486200,495038
Mave,102,1710
Rey,1597,1643
Tess,137,1609
Bo,474559,494862
Mave,150,1731
Rey,1596,1675
Tess,192,1732
Bo,478561,495001
Mave,115,1672
Rey,1579,1645
Tess,170,1682
Bo,283,1646
Mave,35204,495102
Rey,113,1643
Tess,384,1609
Bo,285,1653
Mave,35285,494940
Rey,128,1675
Tess,442,1732
Bo,74,1667
Mave,35331,495006
Rey,120,1645
Tess,417,1682
Bo,80,1646
Mave,35284,495102
Rey,123,1643
Tess,397,1609
Bo,87,1653
Mave,35474,494940
Rey,116,1675
Tess,423,1732
Bo,23,1667
Mave,35125,495006
Rey,112,1645
Tess,419,1682
Bo,292,1646
Mave,35447,495102
Rey,103,1643
Tess,393,1609
Bo,293,1653
Mave,35293,494940
Rey,136,1675
Tess,441,1732
Bo,150,1667
Mave,35474,495006
Rey,118,1645
Tess,434,1682
Bo,152,1646
Mave,35298,495102
Rey,121,1643
Tess,416,1609
Bo,143,1653
Mave,35337,494940
Rey,118,1675
Tess,408,1732
Bo,208,1667
Mave,35309,495006
Rey,111,1645
Tess,408,1682
Bo,503,1646
Mave,35745,495102
Rey,132,1643
Tess,352,1609
Bo,472,1653
Mave,35360,494940
Rey,110,1675
Tess,373,1732
Bo,448,1667
Mave,35384,495006
Rey,118,1645
Tess,385,1682
Bo,949,1646
Mave,35323,495102
Rey,110,1643
Tess,214,1609
Bo,861,1653
Mave,35420,494940
Rey,128,1675
Tess,225,1732
Bo,858,1667
Mave,35088,495006
Rey,120,1645
Tess,226,1682
Bo,1194,1588
Mave,122,1710
Rey,163766,495016
Tess,409,1686
Bo,748,1690
Mave,133,1731
Rey,127834,494990
Tess,393,1589
Bo,491,1732
Mave,89,1672
Rey,92686,494918
Tess,408,1678
Bo,781,1588
Mave,124,1710
Rey,129156,495016
Tess,424,1686
Bo,441,1690
Mave,124,1731
Rey,93638,494990
Tess,385,1589
Bo,156,1732
Mave,118,1672
Rey,63797,494918
Tess,429,1678
Bo,1072,1588
Mave,116,1710
Rey,149052,495016
Tess,396,1686
