replica,network,population,true_model,sigma,base_SS,modelcompare,first_row
1,None,All,13,0.2,100,AIC,23
2,None,All,13,0.2,100,AIC,7
3,None,All,13,0.2,100,AIC,5
4,None,All,13,0.2,100,AIC,4
5,None,All,13,0.2,100,AIC,11
6,None,All,13,0.2,100,AIC,3
7,None,All,13,0.2,100,AIC,20
8,None,All,13,0.2,100,AIC,7
9,None,All,13,0.2,100,AIC,11
10,None,All,13,0.2,100,AIC,14
11,None,All,13,0.2,100,AIC,14
12,None,All,13,0.2,100,AIC,14
13,None,All,13,0.2,100,AIC,9
14,None,All,13,0.2,100,AIC,19
15,None,All,13,0.2,100,AIC,2
16,None,All,13,0.2,100,AIC,18
17,None,All,13,0.2,100,AIC,8
18,None,All,13,0.2,100,AIC,2
19,None,All,13,0.2,100,AIC,8
20,None,All,13,0.2,100,AIC,6
21,None,All,13,0.2,100,AIC,10
22,None,All,13,0.2,100,AIC,8
23,None,All,13,0.2,100,AIC,7
24,None,All,13,0.2,100,AIC,5
25,None,All,13,0.2,100,AIC,15
26,None,All,13,0.2,100,AIC,7
27,None,All,13,0.2,100,AIC,16
28,None,All,13,0.2,100,AIC,7
29,None,All,13,0.2,100,AIC,15
30,None,All,13,0.2,100,AIC,12
31,None,All,13,0.2,100,AIC,4
32,None,All,13,0.2,100,AIC,57
33,None,All,13,0.2,100,AIC,9
34,None,All,13,0.2,100,AIC,7
35,None,All,13,0.2,100,AIC,3
36,None,All,13,0.2,100,AIC,19
37,None,All,13,0.2,100,AIC,3
38,None,All,13,0.2,100,AIC,3
39,None,All,13,0.2,100,AIC,7
40,None,All,13,0.2,100,AIC,17
41,None,All,13,0.2,100,AIC,29
42,None,All,13,0.2,100,AIC,8
43,None,All,13,0.2,100,AIC,1
44,None,All,13,0.2,100,AIC,8
45,None,All,13,0.2,100,AIC,8
46,None,All,13,0.2,100,AIC,1
47,None,All,13,0.2,100,AIC,4
48,None,All,13,0.2,100,AIC,44
49,None,All,13,0.2,100,AIC,1
50,None,All,13,0.2,100,AIC,8
1,None,All,2,0.2,100,AIC,16
2,None,All,2,0.2,100,AIC,19
3,None,All,2,0.2,100,AIC,3
4,None,All,2,0.2,100,AIC,12
5,None,All,2,0.2,100,AIC,1
6,None,All,2,0.2,100,AIC,3
7,None,All,2,0.2,100,AIC,2
8,None,All,2,0.2,100,AIC,2
9,None,All,2,0.2,100,AIC,4
10,None,All,2,0.2,100,AIC,11
11,None,All,2,0.2,100,AIC,6
12,None,All,2,0.2,100,AIC,6
13,None,All,2,0.2,100,AIC,5
14,None,All,2,0.2,100,AIC,20
15,None,All,2,0.2,100,AIC,5
16,None,All,2,0.2,100,AIC,5
17,None,All,2,0.2,100,AIC,9
18,None,All,2,0.2,100,AIC,6
19,None,All,2,0.2,100,AIC,3
20,None,All,2,0.2,100,AIC,10
21,None,All,2,0.2,100,AIC,7
22,None,All,2,0.2,100,AIC,10
23,None,All,2,0.2,100,AIC,7
24,None,All,2,0.2,100,AIC,8
25,None,All,2,0.2,100,AIC,1
26,None,All,2,0.2,100,AIC,18
27,None,All,2,0.2,100,AIC,8
28,None,All,2,0.2,100,AIC,3
29,None,All,2,0.2,100,AIC,7
30,None,All,2,0.2,100,AIC,21
31,None,All,2,0.2,100,AIC,17
32,None,All,2,0.2,100,AIC,5
33,None,All,2,0.2,100,AIC,16
34,None,All,2,0.2,100,AIC,2
35,None,All,2,0.2,100,AIC,8
36,None,All,2,0.2,100,AIC,17
37,None,All,2,0.2,100,AIC,18
38,None,All,2,0.2,100,AIC,7
39,None,All,2,0.2,100,AIC,2
40,None,All,2,0.2,100,AIC,4
41,None,All,2,0.2,100,AIC,9
42,None,All,2,0.2,100,AIC,8
43,None,All,2,0.2,100,AIC,4
44,None,All,2,0.2,100,AIC,16
45,None,All,2,0.2,100,AIC,11
46,None,All,2,0.2,100,AIC,14
47,None,All,2,0.2,100,AIC,7
48,None,All,2,0.2,100,AIC,7
49,None,All,2,0.2,100,AIC,1
50,None,All,2,0.2,100,AIC,21
1,None,All,7,0.2,100,AIC,4
2,None,All,7,0.2,100,AIC,3
3,None,All,7,0.2,100,AIC,5
4,None,All,7,0.2,100,AIC,1
5,None,All,7,0.2,100,AIC,24
6,None,All,7,0.2,100,AIC,6
7,None,All,7,0.2,100,AIC,13
8,None,All,7,0.2,100,AIC,1
9,None,All,7,0.2,100,AIC,23
10,None,All,7,0.2,100,AIC,25
11,None,All,7,0.2,100,AIC,28
12,None,All,7,0.2,100,AIC,11
13,None,All,7,0.2,100,AIC,6
14,None,All,7,0.2,100,AIC,12
15,None,All,7,0.2,100,AIC,21
16,None,All,7,0.2,100,AIC,12
17,None,All,7,0.2,100,AIC,20
18,None,All,7,0.2,100,AIC,14
19,None,All,7,0.2,100,AIC,10
20,None,All,7,0.2,100,AIC,34
21,None,All,7,0.2,100,AIC,9
22,None,All,7,0.2,100,AIC,1
23,None,All,7,0.2,100,AIC,4
24,None,All,7,0.2,100,AIC,36
25,None,All,7,0.2,100,AIC,32
26,None,All,7,0.2,100,AIC,68
27,None,All,7,0.2,100,AIC,4
28,None,All,7,0.2,100,AIC,38
