replica,network,population,true_model,sigma,base_SS,modelcompare,first_row
1,None,All,13,0.2,100,AIC,14
2,None,All,13,0.2,100,AIC,7
3,None,All,13,0.2,100,AIC,19
4,None,All,13,0.2,100,AIC,18
5,None,All,13,0.2,100,AIC,192
6,None,All,13,0.2,100,AIC,21
7,None,All,13,0.2,100,AIC,258
8,None,All,13,0.2,100,AIC,5
9,None,All,13,0.2,100,AIC,57
10,None,All,13,0.2,100,AIC,16
11,None,All,13,0.2,100,AIC,81
12,None,All,13,0.2,100,AIC,113
13,None,All,13,0.2,100,AIC,4
14,None,All,13,0.2,100,AIC,37
15,None,All,13,0.2,100,AIC,35
16,None,All,13,0.2,100,AIC,165
17,None,All,13,0.2,100,AIC,1
18,None,All,13,0.2,100,AIC,2
19,None,All,13,0.2,100,AIC,2
20,None,All,13,0.2,100,AIC,5
21,None,All,13,0.2,100,AIC,152
22,None,All,13,0.2,100,AIC,23
23,None,All,13,0.2,100,AIC,1
24,None,All,13,0.2,100,AIC,117
25,None,All,13,0.2,100,AIC,145
26,None,All,13,0.2,100,AIC,9
27,None,All,13,0.2,100,AIC,33
28,None,All,13,0.2,100,AIC,18
29,None,All,13,0.2,100,AIC,12
30,None,All,13,0.2,100,AIC,32
31,None,All,13,0.2,100,AIC,43
32,None,All,13,0.2,100,AIC,265
33,None,All,13,0.2,100,AIC,6
34,None,All,13,0.2,100,AIC,5
35,None,All,13,0.2,100,AIC,91
36,None,All,13,0.2,100,AIC,82
37,None,All,13,0.2,100,AIC,9
38,None,All,13,0.2,100,AIC,67
39,None,All,13,0.2,100,AIC,3
40,None,All,13,0.2,100,AIC,6
41,None,All,13,0.2,100,AIC,73
42,None,All,13,0.2,100,AIC,8
43,None,All,13,0.2,100,AIC,1
44,None,All,13,0.2,100,AIC,1
45,None,All,13,0.2,100,AIC,27
46,None,All,13,0.2,100,AIC,186
47,None,All,13,0.2,100,AIC,3
48,None,All,13,0.2,100,AIC,17
49,None,All,13,0.2,100,AIC,1
50,None,All,13,0.2,100,AIC,54
1,None,All,2,0.2,100,AIC,8
2,None,All,2,0.2,100,AIC,22
3,None,All,2,0.2,100,AIC,37
4,None,All,2,0.2,100,AIC,48
5,None,All,2,0.2,100,AIC,1
6,None,All,2,0.2,100,AIC,23
7,None,All,2,0.2,100,AIC,3
8,None,All,2,0.2,100,AIC,20
9,None,All,2,0.2,100,AIC,57
10,None,All,2,0.2,100,AIC,33
11,None,All,2,0.2,100,AIC,13
12,None,All,2,0.2,100,AIC,77
13,None,All,2,0.2,100,AIC,23
14,None,All,2,0.2,100,AIC,9
15,None,All,2,0.2,100,AIC,1
16,None,All,2,0.2,100,AIC,8
17,None,All,2,0.2,100,AIC,63
18,None,All,2,0.2,100,AIC,28
19,None,All,2,0.2,100,AIC,8
20,None,All,2,0.2,100,AIC,80
21,None,All,2,0.2,100,AIC,23
22,None,All,2,0.2,100,AIC,8
23,None,All,2,0.2,100,AIC,12
24,None,All,2,0.2,100,AIC,97
25,None,All,2,0.2,100,AIC,1
26,None,All,2,0.2,100,AIC,57
27,None,All,2,0.2,100,AIC,8
28,None,All,2,0.2,100,AIC,4
29,None,All,2,0.2,100,AIC,8
30,None,All,2,0.2,100,AIC,71
31,None,All,2,0.2,100,AIC,46
32,None,All,2,0.2,100,AIC,6
33,None,All,2,0.2,100,AIC,73
34,None,All,2,0.2,100,AIC,20
35,None,All,2,0.2,100,AIC,30
36,None,All,2,0.2,100,AIC,91
37,None,All,2,0.2,100,AIC,4
38,None,All,2,0.2,100,AIC,73
39,None,All,2,0.2,100,AIC,14
40,None,All,2,0.2,100,AIC,34
41,None,All,2,0.2,100,AIC,13
42,None,All,2,0.2,100,AIC,75
43,None,All,2,0.2,100,AIC,31
44,None,All,2,0.2,100,AIC,72
45,None,All,2,0.2,100,AIC,11
46,None,All,2,0.2,100,AIC,13
47,None,All,2,0.2,100,AIC,5
48,None,All,2,0.2,100,AIC,59
49,None,All,2,0.2,100,AIC,34
50,None,All,2,0.2,100,AIC,14
1,None,All,7,0.2,100,AIC,69
2,None,All,7,0.2,100,AIC,88
3,None,All,7,0.2,100,AIC,8
4,None,All,7,0.2,100,AIC,17
5,None,All,7,0.2,100,AIC,91
6,None,All,7,0.2,100,AIC,32
7,None,All,7,0.2,100,AIC,2
8,None,All,7,0.2,100,AIC,24
9,None,All,7,0.2,100,AIC,14
10,None,All,7,0.2,100,AIC,23
11,None,All,7,0.2,100,AIC,6
12,None,All,7,0.2,100,AIC,39
13,None,All,7,0.2,100,AIC,39
14,None,All,7,0.2,100,AIC,3
15,None,All,7,0.2,100,AIC,22
16,None,All,7,0.2,100,AIC,94
17,None,All,7,0.2,100,AIC,39
18,None,All,7,0.2,100,AIC,6
19,None,All,7,0.2,100,AIC,187
20,None,All,7,0.2,100,AIC,70
21,None,All,7,0.2,100,AIC,36
22,None,All,7,0.2,100,AIC,69
