network,population,true_model,sigma,base_SS,modelcompare,TAT,TAT50
None,All,13,0.2,100,AIC,0.909592,1
None,All,2,0.2,100,AIC,0.609106,1
None,All,7,0.2,100,AIC,0.617166,1
None,All,13,0.2,20,AIC,0.775536,1
None,All,2,0.2,20,AIC,0.4861,0
None,All,7,0.2,20,AIC,0.447812,0
None,All,13,0.2,100,BIC,0.932438,1
None,All,2,0.2,100,BIC,0.923118,1
None,All,7,0.2,100,BIC,0.871748,1
None,All,13,0.2,20,BIC,0.761044,1
None,All,2,0.2,20,BIC,0.682028,1
None,All,7,0.2,20,BIC,0.576978,1
None,All,13,0.5,100,AIC,0.59442,1
None,All,2,0.5,100,AIC,0.593998,1
None,All,7,0.5,100,AIC,0.503572,1
None,All,13,0.5,20,AIC,0.136314,0
None,All,2,0.5,20,AIC,0.435548,0
None,All,7,0.5,20,AIC,0.201788,0
None,All,13,0.5,100,BIC,0.342774,0
None,All,2,0.5,100,BIC,0.875582,1
None,All,7,0.5,100,BIC,0.535152,1
None,All,13,0.5,20,BIC,0.064104,0
None,All,2,0.5,20,BIC,0.573736,1
None,All,7,0.5,20,BIC,0.161106,0
None,All,13,0.8,100,AIC,0.029188,0
None,All,2,0.8,100,AIC,0.393734,0
None,All,7,0.8,100,AIC,0.070142,0
None,All,13,0.8,20,AIC,0.018694,0
None,All,2,0.8,20,AIC,0.211064,0
None,All,7,0.8,20,AIC,0.033754,0
None,All,13,0.8,100,BIC,0.00136,0
None,All,2,0.8,100,BIC,0.351692,0
None,All,7,0.8,100,BIC,0.010918,0
None,All,13,0.8,20,BIC,0.005184,0
None,All,2,0.8,20,BIC,0.194602,0
None,All,7,0.8,20,BIC,0.014824,0
None,Bo,13,0.2,100,AIC,0.909288,1
None,Bo,2,0.2,100,AIC,0.594942,1
None,Bo,7,0.2,100,AIC,0.648538,1
None,Bo,13,0.2,20,AIC,0.777078,1
None,Bo,2,0.2,20,AIC,0.485868,0
None,Bo,7,0.2,20,AIC,0.489334,0
None,Bo,13,0.2,100,BIC,0.924966,1
None,Bo,2,0.2,100,BIC,0.874058,1
None,Bo,7,0.2,100,BIC,0.868238,1
None,Bo,13,0.2,20,BIC,0.756454,1
None,Bo,2,0.2,20,BIC,0.678142,1
None,Bo,7,0.2,20,BIC,0.607442,1
None,Bo,13,0.5,100,AIC,0.59761,1
None,Bo,2,0.5,100,AIC,0.593268,1
None,Bo,7,0.5,100,AIC,0.520032,1
None,Bo,13,0.5,20,AIC,0.125816,0
None,Bo,2,0.5,20,AIC,0.49715,0
None,Bo,7,0.5,20,AIC,0.2273,0
None,Bo,13,0.5,100,BIC,0.353186,0
None,Bo,2,0.5,100,BIC,0.87137,1
None,Bo,7,0.5,100,BIC,0.554762,1
None,Bo,13,0.5,20,BIC,0.05253,0
None,Bo,2,0.5,20,BIC,0.647742,1
None,Bo,7,0.5,20,BIC,0.18847,0
None,Bo,13,0.8,100,AIC,0.016422,0
None,Bo,2,0.8,100,AIC,0.530304,1
None,Bo,7,0.8,100,AIC,0.087676,0
None,Bo,13,0.8,20,AIC,0.008018,0
None,Bo,2,0.8,20,AIC,0.360876,0
None,Bo,7,0.8,20,AIC,0.04213,0
None,Bo,13,0.8,100,BIC,3.58e-4,0
None,Bo,2,0.8,100,BIC,0.752434,1
None,Bo,7,0.8,100,BIC,0.015946,0
None,Bo,13,0.8,20,BIC,0.001484,0
None,Bo,2,0.8,20,BIC,0.453946,0
None,Bo,7,0.8,20,BIC,0.01984,0
None,Mave,13,0.2,100,AIC,0.80495,1
None,Mave,2,0.2,100,AIC,0.383906,0
None,Mave,7,0.2,100,AIC,0.554748,1
None,Mave,13,0.2,20,AIC,0.628146,1
None,Mave,2,0.2,20,AIC,0.257242,0
None,Mave,7,0.2,20,AIC,0.378344,0
None,Mave,13,0.2,100,BIC,0.905364,1
None,Mave,2,0.2,100,BIC,0.881674,1
None,Mave,7,0.2,100,BIC,0.863506,1
None,Mave,13,0.2,20,BIC,0.659172,1
None,Mave,2,0.2,20,BIC,0.473722,0
None,Mave,7,0.2,20,BIC,0.51964,1
None,Mave,13,0.5,100,AIC,0.526304,1
None,Mave,2,0.5,100,AIC,0.376132,0
None,Mave,7,0.5,100,AIC,0.455028,0
None,Mave,13,0.5,20,AIC,0.160842,0
None,Mave,2,0.5,20,AIC,0.238096,0
None,Mave,7,0.5,20,AIC,0.208432,0
None,Mave,13,0.5,100,BIC,0.344252,0
None,Mave,2,0.5,100,BIC,0.836068,1
None,Mave,7,0.5,100,BIC,0.562282,1
None,Mave,13,0.5,20,BIC,0.093516,0
None,Mave,2,0.5,20,BIC,0.411058,0
None,Mave,7,0.5,20,BIC,0.200752,0
None,Mave,13,0.8,100,AIC,0.051148,0
None,Mave,2,0.8,100,AIC,0.27062,0
None,Mave,7,0.8,100,AIC,0.107802,0
None,Mave,13,0.8,20,AIC,0.035328,0
None,Mave,2,0.8,20,AIC,0.15118,0
None,Mave,7,0.8,20,AIC,0.061338,0
None,Mave,13,0.8,100,BIC,0.003824,0
None,Mave,2,0.8,100,BIC,0.332374,0
None,Mave,7,0.8,100,BIC,0.027886,0
None,Mave,13,0.8,20,BIC,0.012246,0
None,Mave,2,0.8,20,BIC,0.181796,0
None,Mave,7,0.8,20,BIC,0.034702,0
None,Rey,13,0.2,100,AIC,0.837078,1
None,Rey,2,0.2,100,AIC,0.586352,1
None,Rey,7,0.2,100,AIC,0.57071,1
None,Rey,13,0.2,20,AIC,0.741206,1
None,Rey,2,0.2,20,AIC,0.467498,0
None,Rey,7,0.2,20,AIC,0.40396,0
None,Rey,13,0.2,100,BIC,0.866732,1
None,Rey,2,0.2,100,BIC,0.88866,1
None,Rey,7,0.2,100,BIC,0.805734,1
None,Rey,13,0.2,20,BIC,0.702236,1
None,Rey,2,0.2,20,BIC,0.67172,1
None,Rey,7,0.2,20,BIC,0.550294,1
None,Rey,13,0.5,100,AIC,0.570534,1
None,Rey,2,0.5,100,AIC,0.583918,1
None,Rey,7,0.5,100,AIC,0.45183,0
None,Rey,13,0.5,20,AIC,0.13863,0
None,Rey,2,0.5,20,AIC,0.42997,0
None,Rey,7,0.5,20,AIC,0.194348,0
None,Rey,13,0.5,100,BIC,0.30992,0
None,Rey,2,0.5,100,BIC,0.850934,1
None,Rey,7,0.5,100,BIC,0.511182,1
None,Rey,13,0.5,20,BIC,0.069178,0
None,Rey,2,0.5,20,BIC,0.578818,1
None,Rey,7,0.5,20,BIC,0.146978,0
None,Rey,13,0.8,100,AIC,0.03401,0
None,Rey,2,0.8,100,AIC,0.375194,0
None,Rey,7,0.8,100,AIC,0.081952,0
None,Rey,13,0.8,20,AIC,0.024018,0
None,Rey,2,0.8,20,AIC,0.204274,0
None,Rey,7,0.8,20,AIC,0.033816,0
None,Rey,13,0.8,100,BIC,0.001608,0
None,Rey,2,0.8,100,BIC,0.329142,0
None,Rey,7,0.8,100,BIC,0.015966,0
None,Rey,13,0.8,20,BIC,0.006148,0
None,Rey,2,0.8,20,BIC,0.204218,0
None,Rey,7,0.8,20,BIC,0.013806,0
None,Tess,13,0.2,100,AIC,0.819434,1
None,Tess,2,0.2,100,AIC,0.66383,1
None,Tess,7,0.2,100,AIC,0.628996,1
None,Tess,13,0.2,20,AIC,0.693398,1
None,Tess,2,0.2,20,AIC,0.55972,1
None,Tess,7,0.2,20,AIC,0.487718,0
None,Tess,13,0.2,100,BIC,0.837918,1
None,Tess,2,0.2,100,BIC,0.92558,1
None,Tess,7,0.2,100,BIC,0.830664,1
None,Tess,13,0.2,20,BIC,0.63865,1
None,Tess,2,0.2,20,BIC,0.742778,1
None,Tess,7,0.2,20,BIC,0.591,1
None,Tess,13,0.5,100,AIC,0.338062,0
None,Tess,2,0.5,100,AIC,0.67288,1
None,Tess,7,0.5,100,AIC,0.54886,1
None,Tess,13,0.5,20,AIC,0.00136,0
None,Tess,2,0.5,20,AIC,0.655994,1
None,Tess,7,0.5,20,AIC,0.035212,0
None,Tess,13,0.5,100,BIC,0.110312,0
None,Tess,2,0.5,100,BIC,0.887712,1
None,Tess,7,0.5,100,BIC,0.403684,0
None,Tess,13,0.5,20,BIC,3.84e-4,0
None,Tess,2,0.5,20,BIC,0.703736,1
None,Tess,7,0.5,20,BIC,0.009174,0
None,Tess,13,0.8,100,AIC,2.7e-4,0
None,Tess,2,0.8,100,AIC,0.490858,0
None,Tess,7,0.8,100,AIC,0.001592,0
None,Tess,13,0.8,20,AIC,1.2e-4,0
None,Tess,2,0.8,20,AIC,0.246868,0
None,Tess,7,0.8,20,AIC,4.62e-4,0
None,Tess,13,0.8,100,BIC,6e-6,0
None,Tess,2,0.8,100,BIC,0.32843,0
None,Tess,7,0.8,100,BIC,1.02e-4,0
None,Tess,13,0.8,20,BIC,2.2e-5,0
None,Tess,2,0.8,20,BIC,0.181932,0
None,Tess,7,0.8,20,BIC,1.12e-4,0
