replica,network,population,sigma,true_model,modelcompare,base_SS,agent_away,agent_total,stickiness_overall
1,None,All,0.2,13,AIC,100,150,2323,0.9354283254412398
2,None,All,0.2,13,AIC,100,150,2319,0.9353169469598965
3,None,All,0.2,13,AIC,100,156,2320,0.9327586206896552
4,None,All,0.2,13,AIC,100,203,2265,0.9103752759381898
5,None,All,0.2,13,AIC,100,202,2370,0.9147679324894514
6,None,All,0.2,13,AIC,100,146,1995,0.9268170426065163
7,None,All,0.2,13,AIC,100,136,1932,0.9296066252587991
8,None,All,0.2,13,AIC,100,147,1932,0.9239130434782609
9,None,All,0.2,13,AIC,100,159,2088,0.9238505747126436
10,None,All,0.2,13,AIC,100,147,2061,0.9286754002911208
11,None,All,0.2,13,AIC,100,151,1857,0.9186860527732903
12,None,All,0.2,13,AIC,100,161,2206,0.9270172257479601
13,None,All,0.2,13,AIC,100,147,1885,0.9220159151193634
14,None,All,0.2,13,AIC,100,139,1805,0.9229916897506926
15,None,All,0.2,13,AIC,100,160,2241,0.928603302097278
16,None,All,0.2,13,AIC,100,153,1958,0.9218590398365679
17,None,All,0.2,13,AIC,100,166,2340,0.9290598290598291
18,None,All,0.2,13,AIC,100,154,2081,0.9259971167707832
19,None,All,0.2,13,AIC,100,165,2401,0.9312786339025406
20,None,All,0.2,13,AIC,100,150,1917,0.9217527386541471
21,None,All,0.2,13,AIC,100,155,2223,0.9302744039586145
22,None,All,0.2,13,AIC,100,149,1764,0.9155328798185941
23,None,All,0.2,13,AIC,100,169,2411,0.9299046038987971
24,None,All,0.2,13,AIC,100,157,2197,0.9285389167045972
25,None,All,0.2,13,AIC,100,131,1764,0.9257369614512472
26,None,All,0.2,13,AIC,100,152,2253,0.9325343985796716
27,None,All,0.2,13,AIC,100,154,2206,0.9301903898458749
28,None,All,0.2,13,AIC,100,154,2210,0.930316742081448
29,None,All,0.2,13,AIC,100,160,2321,0.9310641964670401
30,None,All,0.2,13,AIC,100,149,2148,0.930633147113594
31,None,All,0.2,13,AIC,100,166,2163,0.9232547387887193
32,None,All,0.2,13,AIC,100,113,1702,0.9336075205640423
33,None,All,0.2,13,AIC,100,178,2270,0.9215859030837005
34,None,All,0.2,13,AIC,100,147,1932,0.9239130434782609
35,None,All,0.2,13,AIC,100,165,2031,0.9187592319054653
36,None,All,0.2,13,AIC,100,159,2351,0.9323692045937899
37,None,All,0.2,13,AIC,100,172,2795,0.9384615384615385
38,None,All,0.2,13,AIC,100,154,2057,0.9251336898395722
39,None,All,0.2,13,AIC,100,157,2395,0.934446764091858
40,None,All,0.2,13,AIC,100,146,2327,0.9372582724538032
41,None,All,0.2,13,AIC,100,133,1972,0.9325557809330629
42,None,All,0.2,13,AIC,100,153,2087,0.926689027311931
43,None,All,0.2,13,AIC,100,141,2027,0.9304390725209669
44,None,All,0.2,13,AIC,100,144,2202,0.9346049046321526
45,None,All,0.2,13,AIC,100,148,2195,0.9325740318906606
46,None,All,0.2,13,AIC,100,154,2353,0.9345516362090948
47,None,All,0.2,13,AIC,100,150,1989,0.9245852187028658
48,None,All,0.2,13,AIC,100,156,1984,0.9213709677419355
49,None,All,0.2,13,AIC,100,128,1729,0.9259687680740313
50,None,All,0.2,13,AIC,100,173,1921,0.9099427381572098
1,None,All,0.2,2,AIC,100,262,2291,0.8856394587516369
2,None,All,0.2,2,AIC,100,269,2546,0.894344069128044
3,None,All,0.2,2,AIC,100,268,2300,0.8834782608695653
4,None,All,0.2,2,AIC,100,267,2407,0.8890735355213959
5,None,All,0.2,2,AIC,100,261,2378,0.8902439024390244
6,None,All,0.2,2,AIC,100,252,1957,0.8712314767501277
7,None,All,0.2,2,AIC,100,256,2361,0.8915713680643795
8,None,All,0.2,2,AIC,100,297,2369,0.8746306458421275
9,None,All,0.2,2,AIC,100,253,2286,0.8893263342082239
10,None,All,0.2,2,AIC,100,272,2350,0.8842553191489362
11,None,All,0.2,2,AIC,100,293,2609,0.8876964354158682
12,None,All,0.2,2,AIC,100,266,2475,0.8925252525252525
13,None,All,0.2,2,AIC,100,283,2327,0.8783841856467555
14,None,All,0.2,2,AIC,100,279,2416,0.8845198675496688
15,None,All,0.2,2,AIC,100,270,2613,0.8966704936854191
16,None,All,0.2,2,AIC,100,268,2149,0.8752908329455561
17,None,All,0.2,2,AIC,100,261,2221,0.8824853669518236
18,None,All,0.2,2,AIC,100,264,2372,0.8887015177065767
19,None,All,0.2,2,AIC,100,287,2423,0.8815517952950888
20,None,All,0.2,2,AIC,100,272,2303,0.8818931828050369
21,None,All,0.2,2,AIC,100,255,2388,0.8932160804020101
22,None,All,0.2,2,AIC,100,264,2221,0.8811346240432237
23,None,All,0.2,2,AIC,100,253,2489,0.8983527521092809
