replica,network,population,true_model,sigma,base_SS,modelcompare,TAT,TAT50
1,None,All,13,0.2,100,AIC,0.2622,0
2,None,All,13,0.2,100,AIC,0.2603,0
3,None,All,13,0.2,100,AIC,0.2539,0
4,None,All,13,0.2,100,AIC,0.2525,0
5,None,All,13,0.2,100,AIC,0.267,0
6,None,All,13,0.2,100,AIC,0.2218,0
7,None,All,13,0.2,100,AIC,0.2142,0
8,None,All,13,0.2,100,AIC,0.2139,0
9,None,All,13,0.2,100,AIC,0.2381,0
10,None,All,13,0.2,100,AIC,0.229,0
11,None,All,13,0.2,100,AIC,0.2076,0
12,None,All,13,0.2,100,AIC,0.2437,0
13,None,All,13,0.2,100,AIC,0.2074,0
14,None,All,13,0.2,100,AIC,0.2027,0
15,None,All,13,0.2,100,AIC,0.2496,0
16,None,All,13,0.2,100,AIC,0.2228,0
17,None,All,13,0.2,100,AIC,0.2617,0
18,None,All,13,0.2,100,AIC,0.2334,0
19,None,All,13,0.2,100,AIC,0.2697,0
20,None,All,13,0.2,100,AIC,0.2138,0
21,None,All,13,0.2,100,AIC,0.2505,0
22,None,All,13,0.2,100,AIC,0.196,0
23,None,All,13,0.2,100,AIC,0.2666,0
24,None,All,13,0.2,100,AIC,0.2436,0
25,None,All,13,0.2,100,AIC,0.1975,0
26,None,All,13,0.2,100,AIC,0.2503,0
27,None,All,13,0.2,100,AIC,0.2473,0
28,None,All,13,0.2,100,AIC,0.2489,0
29,None,All,13,0.2,100,AIC,0.2614,0
30,None,All,13,0.2,100,AIC,0.2409,0
31,None,All,13,0.2,100,AIC,0.243,0
32,None,All,13,0.2,100,AIC,0.1904,0
33,None,All,13,0.2,100,AIC,0.2564,0
34,None,All,13,0.2,100,AIC,0.2139,0
35,None,All,13,0.2,100,AIC,0.2242,0
36,None,All,13,0.2,100,AIC,0.2612,0
37,None,All,13,0.2,100,AIC,0.3128,0
38,None,All,13,0.2,100,AIC,0.2285,0
39,None,All,13,0.2,100,AIC,0.2689,0
40,None,All,13,0.2,100,AIC,0.2588,0
41,None,All,13,0.2,100,AIC,0.2257,0
42,None,All,13,0.2,100,AIC,0.2322,0
43,None,All,13,0.2,100,AIC,0.2297,0
44,None,All,13,0.2,100,AIC,0.2445,0
45,None,All,13,0.2,100,AIC,0.2466,0
46,None,All,13,0.2,100,AIC,0.2634,0
47,None,All,13,0.2,100,AIC,0.2256,0
48,None,All,13,0.2,100,AIC,0.2263,0
49,None,All,13,0.2,100,AIC,0.1926,0
50,None,All,13,0.2,100,AIC,0.215,0
1,None,All,2,0.2,100,AIC,0.2551,0
