replica,network,population,sigma,true_model,modelcompare,base_SS,RR
1,None,All,0.2,13,AIC,100,0.9710085749285423
2,None,All,0.2,13,AIC,100,0.9678992279561154
3,None,All,0.2,13,AIC,100,0.9577804583835947
4,None,All,0.2,13,AIC,100,0.9074446680080482
5,None,All,0.2,13,AIC,100,0.9223147047166073
6,None,All,0.2,13,AIC,100,0.9567460317460318
7,None,All,0.2,13,AIC,100,0.9692307692307692
8,None,All,0.2,13,AIC,100,0.968895800933126
9,None,All,0.2,13,AIC,100,0.9652722967640095
10,None,All,0.2,13,AIC,100,0.9612034837688044
11,None,All,0.2,13,AIC,100,0.9618380062305296
12,None,All,0.2,13,AIC,100,0.9650655021834061
13,None,All,0.2,13,AIC,100,0.9613034623217923
14,None,All,0.2,13,AIC,100,0.9487283003633428
15,None,All,0.2,13,AIC,100,0.9638989169675091
16,None,All,0.2,13,AIC,100,0.9580530273051049
17,None,All,0.2,13,AIC,100,0.9652615144418423
18,None,All,0.2,13,AIC,100,0.9650432050274941
19,None,All,0.2,13,AIC,100,0.9654213036565977
20,None,All,0.2,13,AIC,100,0.9661855670103093
21,None,All,0.2,13,AIC,100,0.9631728045325779
22,None,All,0.2,13,AIC,100,0.9627201966407211
23,None,All,0.2,13,AIC,100,0.9611807521229276
24,None,All,0.2,13,AIC,100,0.9667721518987342
25,None,All,0.2,13,AIC,100,0.9654213036565977
26,None,All,0.2,13,AIC,100,0.9625689519306541
27,None,All,0.2,13,AIC,100,0.9649542015133413
28,None,All,0.2,13,AIC,100,0.9639215686274509
29,None,All,0.2,13,AIC,100,0.9650180940892642
30,None,All,0.2,13,AIC,100,0.96359918200409
31,None,All,0.2,13,AIC,100,0.9730586370839936
32,None,All,0.2,13,AIC,100,0.9664375252729478
33,None,All,0.2,13,AIC,100,0.9602831301612269
34,None,All,0.2,13,AIC,100,0.968895800933126
35,None,All,0.2,13,AIC,100,0.9565909996017523
36,None,All,0.2,13,AIC,100,0.963291649858814
37,None,All,0.2,13,AIC,100,0.960595094491355
38,None,All,0.2,13,AIC,100,0.9642857142857143
39,None,All,0.2,13,AIC,100,0.9575396825396826
40,None,All,0.2,13,AIC,100,0.9592156862745098
41,None,All,0.2,13,AIC,100,0.9566600397614314
42,None,All,0.2,13,AIC,100,0.9657587548638132
43,None,All,0.2,13,AIC,100,0.9603332011106703
44,None,All,0.2,13,AIC,100,0.9592424866200082
45,None,All,0.2,13,AIC,100,0.9619543452142572
46,None,All,0.2,13,AIC,100,0.9678443826915443
47,None,All,0.2,13,AIC,100,0.9620967741935483
48,None,All,0.2,13,AIC,100,0.9647887323943662
49,None,All,0.2,13,AIC,100,0.9621363092865683
50,None,All,0.2,13,AIC,100,0.936126932465419
1,None,All,0.2,2,AIC,100,0.7797548438117833
2,None,All,0.2,2,AIC,100,0.7907166123778502
3,None,All,0.2,2,AIC,100,0.8098134630981346
4,None,All,0.2,2,AIC,100,0.7896857373086221
5,None,All,0.2,2,AIC,100,0.8001605136436597
6,None,All,0.2,2,AIC,100,0.7936507936507936
7,None,All,0.2,2,AIC,100,0.8070662961492656
8,None,All,0.2,2,AIC,100,0.8042039704165045
9,None,All,0.2,2,AIC,100,0.7942901838091514
10,None,All,0.2,2,AIC,100,0.7778217821782178
11,None,All,0.2,2,AIC,100,0.7893915756630265
12,None,All,0.2,2,AIC,100,0.7916666666666666
13,None,All,0.2,2,AIC,100,0.7844690966719493
14,None,All,0.2,2,AIC,100,0.7954820492133925
15,None,All,0.2,2,AIC,100,0.773393002441009
16,None,All,0.2,2,AIC,100,0.7868589743589743
17,None,All,0.2,2,AIC,100,0.795482546201232
18,None,All,0.2,2,AIC,100,0.7991983967935872
19,None,All,0.2,2,AIC,100,0.7947072975140337
20,None,All,0.2,2,AIC,100,0.7857698289269052
21,None,All,0.2,2,AIC,100,0.7942811755361397
22,None,All,0.2,2,AIC,100,0.7876386687797148
23,None,All,0.2,2,AIC,100,0.8180698151950718
24,None,All,0.2,2,AIC,100,0.8015025701858443
25,None,All,0.2,2,AIC,100,0.795472597299444
26,None,All,0.2,2,AIC,100,0.8072289156626506
27,None,All,0.2,2,AIC,100,0.8014184397163121
28,None,All,0.2,2,AIC,100,0.7932437932437932
29,None,All,0.2,2,AIC,100,0.7755511022044088
30,None,All,0.2,2,AIC,100,0.782964782964783
31,None,All,0.2,2,AIC,100,0.8002373417721519
32,None,All,0.2,2,AIC,100,0.7940368772067478
33,None,All,0.2,2,AIC,100,0.7810650887573964
34,None,All,0.2,2,AIC,100,0.8042039704165045
35,None,All,0.2,2,AIC,100,0.7822452229299363
36,None,All,0.2,2,AIC,100,0.7777340676632573
37,None,All,0.2,2,AIC,100,0.7934272300469484
38,None,All,0.2,2,AIC,100,0.8126984126984127
39,None,All,0.2,2,AIC,100,0.7910863509749304
40,None,All,0.2,2,AIC,100,0.7880903490759753
41,None,All,0.2,2,AIC,100,0.7851173895742141
42,None,All,0.2,2,AIC,100,0.7670634920634921
43,None,All,0.2,2,AIC,100,0.7879508521601268
44,None,All,0.2,2,AIC,100,0.790007806401249
45,None,All,0.2,2,AIC,100,0.8099208003334722
46,None,All,0.2,2,AIC,100,0.8042096902303415
47,None,All,0.2,2,AIC,100,0.7895783611774065
48,None,All,0.2,2,AIC,100,0.7922025723472669
49,None,All,0.2,2,AIC,100,0.7831663326653306
50,None,All,0.2,2,AIC,100,0.7930204572803851
1,None,All,0.2,7,AIC,100,0.916700694160882
2,None,All,0.2,7,AIC,100,0.9065040650406504
3,None,All,0.2,7,AIC,100,0.9140866873065016
4,None,All,0.2,7,AIC,100,0.8352272727272727
5,None,All,0.2,7,AIC,100,0.8942891859052248
6,None,All,0.2,7,AIC,100,0.9106788408098452
7,None,All,0.2,7,AIC,100,0.9014028056112224
8,None,All,0.2,7,AIC,100,0.8992609879424348
9,None,All,0.2,7,AIC,100,0.9006648416112631
10,None,All,0.2,7,AIC,100,0.9066193853427896
11,None,All,0.2,7,AIC,100,0.9225077881619937
12,None,All,0.2,7,AIC,100,0.9004451639012545
13,None,All,0.2,7,AIC,100,0.9057425742574258
14,None,All,0.2,7,AIC,100,0.8928982725527831
15,None,All,0.2,7,AIC,100,0.8952648475120385
16,None,All,0.2,7,AIC,100,0.9134615384615384
17,None,All,0.2,7,AIC,100,0.9020783373301359
18,None,All,0.2,7,AIC,100,0.9039479039479039
19,None,All,0.2,7,AIC,100,0.9039615846338536
20,None,All,0.2,7,AIC,100,0.911741835147745
21,None,All,0.2,7,AIC,100,0.9037007560684441
22,None,All,0.2,7,AIC,100,0.9055374592833876
23,None,All,0.2,7,AIC,100,0.9039014373716633
24,None,All,0.2,7,AIC,100,0.892094861660079
25,None,All,0.2,7,AIC,100,0.9032889584964762
26,None,All,0.2,7,AIC,100,0.9038234134804888
