replica,network,population,sigma,true_model,modelcompare,base_SS,RR
1,None,All,0.2,13,AIC,100,0.9816160752458315
2,None,All,0.2,13,AIC,100,0.9772434521253757
3,None,All,0.2,13,AIC,100,0.9748638458315878
4,None,All,0.2,13,AIC,100,0.8803363518758085
5,None,All,0.2,13,AIC,100,0.9302678120262758
6,None,All,0.2,13,AIC,100,0.9761316872427983
7,None,All,0.2,13,AIC,100,0.9798657718120806
8,None,All,0.2,13,AIC,100,0.9801378192136198
9,None,All,0.2,13,AIC,100,0.9807455960671856
10,None,All,0.2,13,AIC,100,0.9771404821280133
11,None,All,0.2,13,AIC,100,0.974642126789366
12,None,All,0.2,13,AIC,100,0.9828220858895705
13,None,All,0.2,13,AIC,100,0.9785499785499786
14,None,All,0.2,13,AIC,100,0.9658986175115207
15,None,All,0.2,13,AIC,100,0.9798149705634988
16,None,All,0.2,13,AIC,100,0.9710264900662252
17,None,All,0.2,13,AIC,100,0.9763071895424836
18,None,All,0.2,13,AIC,100,0.9753187988482106
19,None,All,0.2,13,AIC,100,0.9725506756756757
20,None,All,0.2,13,AIC,100,0.9808673469387755
21,None,All,0.2,13,AIC,100,0.9739932885906041
22,None,All,0.2,13,AIC,100,0.9807692307692307
23,None,All,0.2,13,AIC,100,0.9764606977721731
24,None,All,0.2,13,AIC,100,0.9765528589058001
25,None,All,0.2,13,AIC,100,0.9777043765483072
26,None,All,0.2,13,AIC,100,0.9811243331965531
27,None,All,0.2,13,AIC,100,0.9795918367346939
28,None,All,0.2,13,AIC,100,0.9800488599348535
29,None,All,0.2,13,AIC,100,0.9777777777777777
30,None,All,0.2,13,AIC,100,0.9762510602205259
31,None,All,0.2,13,AIC,100,0.9851423854725547
32,None,All,0.2,13,AIC,100,0.9774755631109222
33,None,All,0.2,13,AIC,100,0.9736950267159885
34,None,All,0.2,13,AIC,100,0.9801378192136198
35,None,All,0.2,13,AIC,100,0.9734513274336283
36,None,All,0.2,13,AIC,100,0.9751787968026925
37,None,All,0.2,13,AIC,100,0.9714405711885762
38,None,All,0.2,13,AIC,100,0.9767441860465116
39,None,All,0.2,13,AIC,100,0.9735627360469996
40,None,All,0.2,13,AIC,100,0.9763843648208469
41,None,All,0.2,13,AIC,100,0.9742120343839542
42,None,All,0.2,13,AIC,100,0.9806607574536664
43,None,All,0.2,13,AIC,100,0.9783243017924135
44,None,All,0.2,13,AIC,100,0.9756722151088348
45,None,All,0.2,13,AIC,100,0.9711899791231733
46,None,All,0.2,13,AIC,100,0.97581317764804
47,None,All,0.2,13,AIC,100,0.9787775891341256
48,None,All,0.2,13,AIC,100,0.9759281925744594
49,None,All,0.2,13,AIC,100,0.9774220032840722
50,None,All,0.2,13,AIC,100,0.7198764160659115
