replica,network,population,sigma,true_model,modelcompare,base_SS,TAT,RR
1,None,All,0.2,13,AIC,100,0.2622,0.9742752143732135
10,None,All,0.2,13,AIC,100,0.229,0.9659540775930324
11,None,All,0.2,13,AIC,100,0.2076,0.9684579439252337
12,None,All,0.2,13,AIC,100,0.2437,0.9686383485510123
13,None,All,0.2,13,AIC,100,0.2074,0.9678207739307536
14,None,All,0.2,13,AIC,100,0.2027,0.9656842955187727
15,None,All,0.2,13,AIC,100,0.2496,0.968311271560369
16,None,All,0.2,13,AIC,100,0.2228,0.9699248120300752
17,None,All,0.2,13,AIC,100,0.2617,0.9664324746291959
18,None,All,0.2,13,AIC,100,0.2334,0.9662215239591516
19,None,All,0.2,13,AIC,100,0.2697,0.9626391096979332
2,None,All,0.2,13,AIC,100,0.2603,0.9691182446160097
20,None,All,0.2,13,AIC,100,0.2138,0.971958762886598
21,None,All,0.2,13,AIC,100,0.2505,0.9704573047349251
22,None,All,0.2,13,AIC,100,0.196,0.9705038918476034
23,None,All,0.2,13,AIC,100,0.2666,0.9648200566114031
24,None,All,0.2,13,AIC,100,0.2436,0.9683544303797469
25,None,All,0.2,13,AIC,100,0.1975,0.9757551669316376
26,None,All,0.2,13,AIC,100,0.2503,0.9657210401891253
27,None,All,0.2,13,AIC,100,0.2473,0.9673436877737953
28,None,All,0.2,13,AIC,100,0.2489,0.9666666666666667
29,None,All,0.2,13,AIC,100,0.2614,0.9682348210695617
3,None,All,0.2,13,AIC,100,0.2539,0.9714515480498592
30,None,All,0.2,13,AIC,100,0.2409,0.9730061349693252
31,None,All,0.2,13,AIC,100,0.243,0.9655309033280507
32,None,All,0.2,13,AIC,100,0.1904,0.9805903760614638
33,None,All,0.2,13,AIC,100,0.2564,0.9622493118364137
34,None,All,0.2,13,AIC,100,0.2139,0.9762830482115086
35,None,All,0.2,13,AIC,100,0.2242,0.9613699721226603
36,None,All,0.2,13,AIC,100,0.2612,0.9713594191206132
37,None,All,0.2,13,AIC,100,0.3128,0.9618013671089666
38,None,All,0.2,13,AIC,100,0.2285,0.9700996677740864
39,None,All,0.2,13,AIC,100,0.2689,0.9662698412698413
4,None,All,0.2,13,AIC,100,0.2525,0.9420523138832998
40,None,All,0.2,13,AIC,100,0.2588,0.9698039215686275
41,None,All,0.2,13,AIC,100,0.2257,0.9685884691848906
42,None,All,0.2,13,AIC,100,0.2322,0.9684824902723735
43,None,All,0.2,13,AIC,100,0.2297,0.9710432368107894
44,None,All,0.2,13,AIC,100,0.2445,0.9699464800329354
45,None,All,0.2,13,AIC,100,0.2466,0.9731678013616339
46,None,All,0.2,13,AIC,100,0.2634,0.9686383485510123
47,None,All,0.2,13,AIC,100,0.2256,0.9665322580645161
48,None,All,0.2,13,AIC,100,0.2263,0.9710485133020345
49,None,All,0.2,13,AIC,100,0.1926,0.9748903945795138
5,None,All,0.2,13,AIC,100,0.267,0.9437177962742767
50,None,All,0.2,13,AIC,100,0.215,0.9450772986167616
6,None,All,0.2,13,AIC,100,0.2218,0.9746031746031746
