replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,1,All,0.2,None,100,2,5,3,4,0,8,0,4,0,0
1,2,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,3,All,0.2,None,100,2,5,1,3,0,4,0,4,0,1
1,4,All,0.2,None,100,2,5,1,3,0,4,0,4,0,1
1,5,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,6,All,0.2,None,100,2,5,3,7,0,4,0,4,0,0
1,7,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,8,All,0.2,None,100,2,5,4,12,0,4,0,4,0,0
1,9,All,0.2,None,100,2,5,4,11,0,4,0,4,0,0
1,10,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,11,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,12,All,0.2,None,100,2,5,2,2,1,4,0,2,1,0
1,13,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,14,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,15,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,16,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,17,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,18,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,19,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,20,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,21,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,22,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,23,All,0.2,None,100,2,5,3,5,0,2,1,5,0,0
1,24,All,0.2,None,100,2,5,2,7,0,5,0,5,0,0
1,25,All,0.2,None,100,2,5,1,7,0,5,0,5,0,1
1,26,All,0.2,None,100,2,5,3,2,1,5,0,2,1,0
1,27,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,28,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,29,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,30,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,31,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,32,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,33,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,34,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,35,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,36,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,37,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,38,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
