replica,turn,studies,network,population,sigma,net_size,base_SS,true_model,colab_cond,orig_type,strategy,old_model,selected_model,orig_agents,switch_agents,SS,num_agents,init_g_true,final_g_true,prop_t_mod,switch_testing,switch_changing,switch_true,switch_true_changing,switch_true_rejecting,switch_rep_study,switch_rep,switch_not_rep,switch_all,switch_global,switch_not_global,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_true
1,1,6,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,8,4,1,1,20,1,0,0,0,5,3,0,0,0,0,0,0,7,2,5,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0702479338842975,0.0743801652892562,0.0661157024793388,0.0537190082644628,0.0578512396694215,0.0805785123966942,0.0805785123966942,0.0599173553719008,0.0805785123966942
1,2,7,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,9,7,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0702479338842975,0.0743801652892562,0.0661157024793388,0.0537190082644628,0.0578512396694215,0.0805785123966942,0.0805785123966942,0.0599173553719008,0.0805785123966942
1,3,14,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,10,8,1,1,20,1,0,0,0,6,3,1,1,0,0,0,0,7,1,6,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0702479338842975,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0805785123966942,0.0785123966942149,0.0578512396694215,0.0785123966942149
1,4,15,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,12,13,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0702479338842975,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0805785123966942,0.0785123966942149,0.0578512396694215,0.0785123966942149
1,5,16,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,12,13,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0702479338842975,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0805785123966942,0.0785123966942149,0.0578512396694215,0.0785123966942149
1,6,22,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,7,12,1,1,20,1,0,0,0,5,3,1,1,0,0,0,0,6,1,5,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,7,23,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,1,8,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,8,24,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,3,6,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0805785123966942,0.0826446280991736,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,9,32,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,6,3,1,1,20,1,0,0,0,7,6,0,0,0,1,1,0,8,1,7,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0805785123966942,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,10,33,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,1,8,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0805785123966942,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,11,34,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,5,6,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0805785123966942,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,12,35,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,2,5,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0805785123966942,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,13,36,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,13,12,1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0805785123966942,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0826446280991736,0.0640495867768595,0.0516528925619835,0.0578512396694215,0.0888429752066116,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,14,44,Small,Bo,0.8,484,20,13,NOLAB,Bo,research,8,4,1,1,20,1,0,0,0,7,3,0,0,0,0,0,0,7,0,7,0.0723140495867769,0.0847107438016529,0.0950413223140496,0.0888429752066116,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0805785123966942,0.0640495867768595,0.0516528925619835,0.0557851239669422,0.0847107438016529,0.0764462809917355,0.0537190082644628,0.0764462809917355
1,15,51,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,14,4,1,1,20,1,0,0,0,6,4,0,0,0,0,0,0,7,1,6,0.0723140495867769,0.0826446280991736,0.0950413223140496,0.0991735537190083,0.0661157024793388,0.0640495867768595,0.0619834710743802,0.0785123966942149,0.0619834710743802,0.0516528925619835,0.0537190082644628,0.0847107438016529,0.0764462809917355,0.0516528925619835,0.0764462809917355
1,16,58,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,4,2,1,1,20,1,0,0,0,6,6,1,1,0,3,3,0,8,2,6,0.0723140495867769,0.0971074380165289,0.0950413223140496,0.0909090909090909,0.0640495867768595,0.0640495867768595,0.0619834710743802,0.0785123966942149,0.0619834710743802,0.0516528925619835,0.0516528925619835,0.0847107438016529,0.0743801652892562,0.0516528925619835,0.0743801652892562
1,17,59,Small,Bo,0.8,484,20,13,NOLAB,Bo,neighbor,9,13,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0723140495867769,0.0971074380165289,0.0950413223140496,0.0909090909090909,0.0640495867768595,0.0640495867768595,0.0619834710743802,0.0785123966942149,0.0619834710743802,0.0516528925619835,0.0516528925619835,0.0847107438016529,0.0743801652892562,0.0516528925619835,0.0743801652892562
