"meantime","agent","network"
0.755258679571108,"All","small"
0.800908605009252,"All","small"
0.654871508912255,"All","small"
0.823192443027207,"All","small"
0.543448115849944,"All","small"
0.6241283350972,"All","small"
0.639181473135208,"All","small"
0.711110200866575,"All","small"
0.937296899282581,"All","small"
0.639550899487543,"All","small"
0.738583522960227,"All","small"
0.795025924590517,"All","small"
0.783322729073087,"All","small"
0.654832352146095,"All","small"
0.624766274777915,"All","small"
0.633946036603587,"All","small"
0.706460448438585,"All","small"
0.565007657239809,"All","small"
0.862255217164676,"All","small"
0.762274589184995,"All","small"
0.645976873028417,"All","small"
0.675316602811906,"All","small"
0.616028209462814,"All","small"
0.561562667298945,"All","small"
0.820482719738934,"All","small"
0.90004708990127,"All","small"
0.672173271360855,"All","small"
0.566115901946317,"All","small"
0.624548896500434,"All","small"
0.809709617883445,"All","small"
0.815264381056948,"All","small"
0.768918764491409,"All","small"
0.731101572807596,"All","small"
0.634579838505679,"All","small"
0.639053507857135,"All","small"
0.784045405688039,"All","small"
0.766041295745309,"All","small"
0.801381230264226,"All","small"
0.836785994673806,"All","small"
0.678360267088686,"All","small"
0.779276847026345,"All","small"
0.710646367721009,"All","small"
0.627582033872941,"All","small"
0.758450808066443,"All","small"
0.834414785536255,"All","small"
0.758734070464691,"All","small"
0.738284407172448,"All","small"
0.780056086305043,"All","small"
0.724848457384455,"All","small"
0.616187185816576,"All","small"
0.867905895129942,"All","small"
0.78648496867985,"All","small"
0.83173360690282,"All","small"
0.744637232611031,"All","small"
0.797608000466333,"All","small"
0.7542568993621,"All","small"
0.635206315249225,"All","small"
0.655101573725233,"All","small"
0.609596428377565,"All","small"
0.78371687476769,"All","small"
0.565919488106535,"All","small"
0.602619058895652,"All","small"
0.87300361324198,"All","small"
0.705406375805713,"All","small"
0.634937853880488,"All","small"
0.669742347361373,"All","small"
0.685476728869065,"All","small"
0.780603590356872,"All","small"
0.618700311825147,"All","small"
0.71362633609742,"All","small"
0.698339941909717,"All","small"
0.69094698488397,"All","small"
0.742925127786399,"All","small"
0.666465784564463,"All","small"
0.687365898337487,"All","small"
0.794853602891274,"All","small"
0.709187627098862,"All","small"
0.75968155827753,"All","small"
0.820657644646948,"All","small"
0.681216646677635,"All","small"
0.517338902211354,"All","small"
0.79404670463351,"All","small"
0.687532094932436,"All","small"
0.688189448947988,"All","small"
0.762972952050983,"All","small"
0.637033775883944,"All","small"
0.951774188456252,"All","small"
0.785318254295472,"All","small"
0.915128318153892,"All","small"
0.70426673292173,"All","small"
0.759247389795825,"All","small"
0.51559675583366,"All","small"
0.598294797237895,"All","small"
0.694627846201756,"All","small"
0.682455756782792,"All","small"
0.830496756063496,"All","small"
0.733953475524206,"All","small"
0.749282066585351,"All","small"
0.56155927724302,"All","small"
0.699375160863025,"All","small"
0.665144035281212,"All","small"
0.909034289714544,"All","small"
0.698442268285853,"All","small"
0.746186788911638,"All","small"
0.725743861207875,"All","small"
0.633818428071592,"All","small"
0.811043539205772,"All","small"
0.755768408051831,"All","small"
0.879572840028468,"All","small"
0.629081362866983,"All","small"
0.675953063754669,"All","small"
0.736400733431789,"All","small"
0.621061783330001,"All","small"
0.648431409861847,"All","small"
0.810743795299445,"All","small"
0.650957976351011,"All","small"
0.64895395392048,"All","small"
0.630444058870813,"All","small"
0.719012232798547,"All","small"
0.53748619626532,"All","small"
0.859099367158484,"All","small"
0.75575526645506,"All","small"
0.497692126267163,"All","small"
0.683510569977536,"All","small"
0.581425788852996,"All","small"
0.819306409266156,"All","small"
0.704821961835704,"All","small"
0.763683437922901,"All","small"
0.709582844027807,"All","small"
0.892302267678483,"All","small"
0.625944700352086,"All","small"
0.71539403785317,"All","small"
0.639249078271621,"All","small"
0.748869567700489,"All","small"
0.803354115227742,"All","small"
0.717637482599087,"All","small"
0.694290489275564,"All","small"
0.573841958154341,"All","small"
0.742008987868679,"All","small"
0.641750268431951,"All","small"
0.723533126743607,"All","small"
0.697031555402727,"All","small"
0.633346981962218,"All","small"
0.75460794528896,"All","small"
0.636227816009922,"All","small"
0.678840323078675,"All","small"
0.915217082369657,"All","small"
0.740100026753864,"All","small"
0.709091684182133,"All","small"
0.657926986284969,"All","small"
0.753793385031301,"All","small"
0.72736432675393,"All","small"
0.644208072380673,"All","small"
0.861813236332597,"All","small"
0.534795537223276,"All","small"
0.918405443824604,"All","small"
0.716677291559518,"All","small"
0.804389530631785,"All","small"
0.664474997918841,"All","small"
0.83482096169065,"All","small"
0.69092192372753,"All","small"
0.478207169781691,"All","small"
0.538779313696697,"All","small"
0.860543486948452,"All","small"
0.728102828177771,"All","small"
0.748026675617889,"All","small"
0.793853173922829,"All","small"
0.690948169465034,"All","small"
0.618664451362996,"All","small"
0.860409780585476,"All","small"
0.688807560996804,"All","small"
0.717896679694935,"All","small"
0.675729168231367,"All","small"
0.770170819816687,"All","small"
0.587868489998596,"All","small"
0.589226754099182,"All","small"
0.716398730347305,"All","small"
0.70651457075201,"All","small"
0.556513042156828,"All","small"
0.868499765190048,"All","small"
0.791824836993682,"All","small"
0.630931207470865,"All","small"
0.772793518687964,"All","small"
0.711438103295363,"All","small"
0.430774916920124,"All","small"
0.716802516081068,"All","small"
0.707842411948112,"All","small"
0.539922175202611,"All","small"
0.726752117648503,"All","small"
0.846182753535862,"All","small"
0.943081373730991,"All","small"
0.835623379606927,"All","small"
0.654880495504679,"All","small"
0.680062765868952,"All","small"
0.795132249190199,"All","small"
0.6831367785666,"All","small"
0.683014916393569,"All","small"
0.620028811756772,"All","small"
0.726523197447287,"All","small"
0.795136476333231,"All","small"
0.731771866229374,"All","small"
0.776976345993335,"All","small"
0.906137503130866,"All","small"
0.839498457060263,"All","small"
0.765847208469083,"All","small"
0.829091548546728,"All","small"
0.934005484453875,"All","small"
0.676275068719099,"All","small"
0.683620859301946,"All","small"
0.671834933338911,"All","small"
0.689608960768183,"All","small"
0.915297987619299,"All","small"
0.587334321516924,"All","small"
0.613513296342037,"All","small"
0.593083420592979,"All","small"
0.800764769913417,"All","small"
0.563231038127021,"All","small"
0.55533189336981,"All","small"
0.691578689944346,"All","small"
0.750790564457245,"All","small"
0.64575560895279,"All","small"
0.78896080866571,"All","small"
0.784294495736417,"All","small"
0.724867568357677,"All","small"
0.74023669321319,"All","small"
0.758655465125398,"All","small"
0.882064892202387,"All","small"
0.770726391425591,"All","small"
0.784520388313888,"All","small"
0.81939568795559,"All","small"
0.630856734511312,"All","small"
0.621586698315407,"All","small"
0.834762922097451,"All","small"
0.634275045634772,"All","small"
0.712122883195977,"All","small"
0.656507980368252,"All","small"
0.744889477257101,"All","small"
0.502995613826105,"All","small"
0.826657042212231,"All","small"
0.691395018389159,"All","small"
0.90551898755404,"All","small"
0.801464834573025,"All","small"
0.876241477945029,"All","small"
0.76454802436275,"All","small"
0.649182996493754,"All","small"
0.884495752565444,"All","small"
0.705505191783926,"All","small"
0.617976080486575,"All","small"
0.691327561721406,"All","small"
0.782373332604248,"All","small"
0.567968759762976,"All","small"
0.789961078625693,"All","small"
0.755500114072505,"All","small"
0.711473725479766,"All","small"
0.66250919284967,"All","small"
0.879355722713494,"All","small"
0.669211354542387,"All","small"
0.83421780881234,"All","small"
0.703378963906819,"All","small"
0.673038179182546,"All","small"
0.657101232524468,"All","small"
0.694594988786347,"All","small"
0.702215672743301,"All","small"
0.637935399369764,"All","small"
0.717212667095001,"All","small"
0.501316775739085,"All","small"
0.695789975252739,"All","small"
0.790712495789322,"All","small"
0.595155513184325,"All","small"
0.601051790958119,"All","small"
0.772393849522546,"All","small"
0.662429599815305,"All","small"
0.646654384959173,"All","small"
0.811097414286986,"All","small"
0.796910388200775,"All","small"
0.670321621329818,"All","small"
0.614351116491213,"All","small"
0.593584106683498,"All","small"
0.709964590094982,"All","small"
0.743880087272587,"All","small"
0.895450944454474,"All","small"
0.790840950038957,"All","small"
0.739857111977051,"All","small"
0.739025899700567,"All","small"
0.777591429133243,"All","small"
0.836819571090955,"All","small"
0.689371277904615,"All","small"
0.88204707949299,"All","small"
0.653059207765263,"All","small"
0.778788782753573,"All","small"
0.661600064843778,"All","small"
0.599311046069088,"All","small"
0.513628873125583,"All","small"
0.807783294321318,"All","small"
0.673407332494612,"All","small"
0.736076136171426,"All","small"
0.62203333107502,"All","small"
