"time_to_true","agent","network"
3.43226390742152,"All","lattice"
5.01398462421578,"All","lattice"
2.93653307970635,"All","lattice"
4.26438588515598,"All","lattice"
1.89740806173941,"All","lattice"
4.67116513971234,"All","lattice"
6.24871595143183,"All","lattice"
3.3067465622987,"All","lattice"
3.80517294018752,"All","lattice"
1.47148131315079,"All","lattice"
6.03023317503592,"All","lattice"
2.81616805809303,"All","lattice"
5.37486627349985,"All","lattice"
3.20510639579186,"All","lattice"
6.27429104559493,"All","lattice"
4.92195426087889,"All","lattice"
4.88749969312064,"All","lattice"
4.63238369438393,"All","lattice"
3.00217461428528,"All","lattice"
2.37633614579433,"All","lattice"
4.93870964935529,"All","lattice"
1.07888304657063,"All","lattice"
5.47653060570996,"All","lattice"
2.10676896744755,"All","lattice"
3.51208625669412,"All","lattice"
5.58815449666643,"All","lattice"
5.27547419999111,"All","lattice"
5.26637190839085,"All","lattice"
2.92305268745181,"All","lattice"
1.59101403129449,"All","lattice"
2.85663695451102,"All","lattice"
7.02393029449313,"All","lattice"
4.56316314356931,"All","lattice"
6.63274137316517,"All","lattice"
2.60812664429689,"All","lattice"
2.93586002152391,"All","lattice"
6.79284071873912,"All","lattice"
6.51410986610931,"All","lattice"
5.10195319733396,"All","lattice"
6.39777242325008,"All","lattice"
2.07342774919786,"All","lattice"
6.48582147371012,"All","lattice"
3.90073639235664,"All","lattice"
3.93685249918764,"All","lattice"
8.13640389834986,"All","lattice"
5.73029930460988,"All","lattice"
5.13721367013784,"All","lattice"
1.18082829814062,"All","lattice"
2.00550595558487,"All","lattice"
5.21470180352216,"All","lattice"
4.35853442285505,"All","lattice"
4.07857140562638,"All","lattice"
2.36830286018939,"All","lattice"
3.86334512253388,"All","lattice"
6.42399177237554,"All","lattice"
3.48151595457386,"All","lattice"
3.57472167518735,"All","lattice"
3.94766434565302,"All","lattice"
5.28607763434543,"All","lattice"
4.59307150849597,"All","lattice"
3.80928691705482,"All","lattice"
4.76640647725705,"All","lattice"
4.17007902509808,"All","lattice"
3.58813901794058,"All","lattice"
2.51884820466225,"All","lattice"
3.87812199609592,"All","lattice"
5.11951876535217,"All","lattice"
1.02368368258045,"All","lattice"
4.41112248763408,"All","lattice"
3.76358985640146,"All","lattice"
4.60213534498152,"All","lattice"
3.2633068157148,"All","lattice"
2.27590902857363,"All","lattice"
2.02267820475023,"All","lattice"
4.6753959605893,"All","lattice"
5.21346399131771,"All","lattice"
4.90251615730243,"All","lattice"
3.21787270176913,"All","lattice"
